idx,FLOPS,Correlation,Num_of_Operations
0,3113739194988.981,15669323,134217728
1,4249548125633.232,15669356,134217728
2,4346429015544.042,15669379,134217728
3,4249413582396.707,15669495,134217728
4,3155984951091.0464,15669766,134217728
5,4211016471621.749,15669799,134217728
6,4373622523461.9395,15669822,134217728
7,4198502502502.502,15669938,134217728
8,3106891851851.852,15670935,134217728
9,4095875003814.581,15670968,134217728
10,4382762800417.973,15670991,134217728
11,4258176649746.1934,15671107,134217728
12,3120689344090.7715,15671531,134217728
13,4060190821913.6636,15671564,134217728
14,4324024742268.041,15671587,134217728
15,4359841741107.6826,15671703,134217728
16,3146440865508.5923,15672127,134217728
17,4013568015310.547,15672160,134217728
18,4355455867082.0356,15672183,134217728
19,4236670707070.707,15672299,134217728
20,3167903323262.8394,15672570,134217728
21,4156891972249.7524,15672603,134217728
22,4364520291363.1636,15672626,134217728
23,4315127572016.461,15672742,134217728
24,3054776794046.0205,15673739,134217728
25,4258176649746.1934,15673772,134217728
26,4359841741107.6826,15673795,134217728
27,4245112692538.824,15673911,134217728
28,3072679837915.799,15674335,134217728
29,4262504065040.6504,15674368,134217728
30,4337439503619.4414,15674391,134217728
31,4185801590519.258,15674507,134217728
32,3070430489785.6475,15674931,134217728
33,4189983079948.8022,15674964,134217728
34,4293044012282.4976,15674987,134217728
35,4337299337534.335,15675103,134217728
36,3153537933789.1494,15675374,134217728
37,4219621730382.294,15675407,134217728
38,4401014132537.627,15675430,134217728
39,4262368700181.015,15675546,134217728
40,3172695915279.879,15676543,134217728
41,4181628438794.903,15676576,134217728
42,4405636894797.309,15676599,134217728
43,4279902040816.3267,15676715,134217728
44,3148876876876.8765,15677139,134217728
45,4165147964250.249,15677172,134217728
46,4401158447009.444,15677195,134217728
47,4355455867082.0356,15677311,134217728
48,3118441635687.7324,15677735,134217728
49,4161015873015.8735,15677768,134217728
50,4310554260204.9004,15677791,134217728
51,4240954499494.439,15677907,134217728
52,3141727206760.1416,15678178,134217728
53,4185932135728.5425,15678211,134217728
54,4337299337534.335,15678234,134217728
55,4332818801045.9375,15678350,134217728
56,4324024742268.041,15194000,134217728
57,3099931357830.797,15195134,134217728
58,4223738175409.887,15195167,134217728
59,4288517365881.7134,15195190,134217728
60,4410414300736.067,15195306,134217728
61,3099931357830.797,15195735,134217728
62,4116098135426.8896,15195768,134217728
63,4271185336048.8794,15195791,134217728
64,4368924449073.9233,15195907,134217728
65,3074932484134.8027,15196392,134217728
66,4148668644906.0337,15196425,134217728
67,4328347512012.6416,15196448,134217728
68,4306128781802.432,15196564,134217728
69,3137027649877.2935,15196896,134217728
70,4275403051635.715,15196929,134217728
71,4332958677685.951,15196952,134217728
72,4328347512012.6416,15197068,134217728
73,3054776794046.0205,15198202,134217728
74,4190113886113.8867,15198235,134217728
75,4328347512012.6416,15198258,134217728
76,4292906700783.624,15198374,134217728
77,3102224153472.784,15198803,134217728
78,4202709418837.6753,15198836,134217728
79,4323885441834.992,15198859,134217728
80,4275403051635.715,15198975,134217728
81,3054776794046.0205,15199460,134217728
82,4092003902439.025,15199493,134217728
83,4319432562031.3457,15199516,134217728
84,4297442622950.8193,15199632,134217728
85,3099931357830.797,15199964,134217728
86,4293044012282.4976,15199997,134217728
87,4405781512605.042,15200020,134217728
88,4262368700181.015,15200136,134217728
89,3072679837915.799,15201270,134217728
90,4211148594377.51,15201303,134217728
91,4519571943293.936,15201326,134217728
92,4297442622950.8193,15201442,134217728
93,3068184432506.5723,15201871,134217728
94,4194172932095.872,15201904,134217728
95,4452552016985.139,15201927,134217728
96,4275403051635.715,15202043,134217728
97,3063772096420.745,15202528,134217728
98,4181628438794.903,15202561,134217728
99,4364520291363.1636,15202584,134217728
100,4240954499494.439,15202700,134217728
101,3097641948810.2656,15203032,134217728
102,4240820499857.8154,15203065,134217728
103,4401158447009.444,15203088,134217728
104,4181758723828.5146,15203204,134217728
105,3146440865508.5923,15204338,134217728
106,4144569169960.474,15204371,134217728
107,4350796719504.6836,15204394,134217728
108,4288517365881.7134,15204510,134217728
109,3111501483679.525,15204939,134217728
110,4080062256809.339,15204972,134217728
111,4337439503619.4414,15204995,134217728
112,4306266940451.7456,15205111,134217728
113,3132342131671.6846,15205596,134217728
114,4120014979893.7905,15205629,134217728
115,4369066666666.667,15205652,134217728
116,4258041559595.191,15205768,134217728
117,3196801905442.42,15206100,134217728
118,4120141453831.041,15206133,134217728
119,4319432562031.3457,15206156,134217728
120,4297442622950.8193,15206272,134217728
121,3148876876876.8765,15207406,134217728
122,4314988844237.2607,15207439,134217728
123,4245246963562.7534,15207462,134217728
124,4306128781802.432,15207578,134217728
125,3102295857988.1655,15208007,134217728
126,4297442622950.8193,15208040,134217728
127,4350796719504.6836,15208063,134217728
128,4279902040816.3267,15208179,134217728
129,3104520343256.309,15208664,134217728
130,4249413582396.707,15208697,134217728
131,4314988844237.2607,15208720,134217728
132,4284273748723.1865,15208836,134217728
133,3086316409124.356,15209168,134217728
