idx,FLOPS,Correlation,Num_of_Operations
0,8280955577492.598,230746,268435456
1,6369331023846.244,230823,268435456
2,7319902268760.908,230856,268435456
3,8765239379591.837,230879,268435456
4,8612257563604.864,230995,268435456
5,6388886519421.173,231468,268435456
6,7060932109319.514,231501,268435456
7,7928506837581.594,231524,268435456
8,8208031311154.598,231640,268435456
9,6497602594824.873,231717,268435456
10,7231363810242.181,231750,268435456
11,8665637602091.875,231773,268435456
12,8737848898147.847,231889,268435456
13,6250825633383.011,232362,268435456
14,7256385153948.044,232395,268435456
15,8073732435033.687,232418,268435456
16,8346614097820.342,232534,268435456
17,6335657107791.073,232611,268435456
18,7429916576711.2295,232644,268435456
19,8297337289812.067,232667,268435456
20,8747245046923.879,232783,268435456
21,6345241839026.119,233256,268435456
22,7332699300699.301,233289,268435456
23,8280955577492.598,233312,268435456
24,7928506837581.594,233428,268435456
25,6364498565568.912,233505,268435456
26,7397361552028.22,233538,268435456
27,8559804081632.653,233561,268435456
28,8774407740332.757,233677,268435456
29,6369331023846.244,234150,268435456
30,7151413469735.72,234183,268435456
31,8280955577492.598,234206,268435456
32,8050487523992.323,234322,268435456
33,6383872529667.77,234399,268435456
34,7364686438585.422,234432,268435456
35,8533680569684.64,234455,268435456
36,8490225385077.648,234571,268435456
37,6447660653808.277,235044,268435456
38,7139050982686.631,235077,268435456
39,8288882383819.671,235100,268435456
40,8289138339920.948,235216,268435456
41,6517796673546.194,235293,268435456
42,7384134899458.091,235326,268435456
43,8783595301200.877,235349,268435456
44,8639143151390.32,235465,268435456
45,6432827434158.499,235938,268435456
46,7072838932363.713,235971,268435456
47,8120627299128.752,235994,268435456
48,8120381643827.327,236110,268435456
49,6437918649270.914,236187,268435456
50,7384134899458.091,236220,268435456
51,8719966735966.735,236243,268435456
52,8710911734164.071,236359,268435456
53,6472691358024.691,237344,268435456
54,7145321976149.915,237377,268435456
55,8215819055489.241,237400,268435456
56,1176177472428.766,237442,268435456
57,1360661871524.6626,237498,268435456
58,8829823229499.03,237521,268435456
59,8603424762026.857,237598,268435456
60,8551078491335.372,237631,268435456
61,8647770883669.984,237654,268435456
62,1249961379246.1177,237695,268435456
63,1367315373135.0886,237750,268435456
64,8737848898147.847,237773,268435456
65,6354855614213.679,238246,268435456
66,7133170068027.212,238279,268435456
67,8168070107108.083,238302,268435456
68,1196647049121.1333,238343,268435456
69,1311725570872.2017,238398,268435456
70,8248132001843.601,238421,268435456
71,6482695517774.343,238498,268435456
72,7384134899458.091,238531,268435456
73,8738133333333.334,238554,268435456
74,1250893338614.5996,238595,268435456
75,1374041297693.5125,238650,268435456
76,8756090158854.421,238673,268435456
77,6321483044461.19,239146,268435456
78,7169558932720.813,239179,268435456
79,8305295504470.778,239202,268435456
80,1201445912982.764,239243,268435456
