idx,FLOPS,Correlation,Num_of_Operations
0,3068184432506.5723,16576543,134217728
1,4177463599863.0522,16576576,134217728
2,4382762800417.973,16576599,134217728
3,1246056482908.4429,16576640,134217728
4,1255392029032.9521,16576695,134217728
5,4165018712179.984,16576718,134217728
6,3065941658861.9595,16577197,134217728
7,4190113886113.8867,16577230,134217728
8,4447830328738.07,16577253,134217728
9,1241997742120.556,16577294,134217728
10,1251260679059.5342,16577349,134217728
11,4177463599863.0522,16577372,134217728
12,3074932484134.8027,16577698,134217728
13,4165018712179.984,16577731,134217728
14,4481094017094.017,16577754,134217728
15,1241630076412.1445,16577795,134217728
16,1255380286959.6123,16577850,134217728
17,4198371172072.946,16577873,134217728
18,3070500732064.4214,16579001,134217728
19,4262368700181.015,16579034,134217728
20,4442971564765.468,16579057,134217728
21,1243113560373.811,16579098,134217728
22,1256885059839.3047,16579153,134217728
23,4332818801045.9375,16579176,134217728
24,3146440865508.5923,16579599,134217728
25,4253723195892.625,16579632,134217728
26,4415056842105.264,16579655,134217728
27,1239062498846.0332,16579696,134217728
28,1254629250874.0115,16579751,134217728
29,4310554260204.9004,16579774,134217728
30,3099931357830.797,16580253,134217728
31,4284136997669.8906,16580286,134217728
32,4378187891440.501,16580309,134217728
33,1232870942259.2913,16580350,134217728
34,1252381524680.4143,16580405,134217728
35,4258041559595.191,16580428,134217728
36,3144082269437.092,16580754,134217728
37,4253723195892.625,16580787,134217728
38,4332958677685.951,16580810,134217728
39,1240906870313.699,16580851,134217728
40,1244958472854.771,16580906,134217728
41,4306128781802.432,16580929,134217728
42,3100002956393.2,16582057,134217728
43,4140350063238.424,16582090,134217728
44,4306266940451.7456,16582113,134217728
45,1239073937648.2861,16582154,134217728
46,1254265790727.8826,16582209,134217728
47,4249548125633.232,16582232,134217728
48,3065941658861.9595,16582655,134217728
49,4185801590519.258,16582688,134217728
50,4319571575695.16,16582711,134217728
51,1241630076412.1445,16582752,134217728
52,1252019365490.9937,16582807,134217728
53,4382619689795.9185,16582830,134217728
54,3120689344090.7715,16583309,134217728
55,4185932135728.5425,16583342,134217728
56,4297305029936.2856,16583365,134217728
57,1230700434631.1135,16583406,134217728
58,1255380286959.6123,16583461,134217728
59,4332958677685.951,16583484,134217728
60,3102224153472.784,16583810,134217728
61,4211148594377.51,16583843,134217728
62,4355314534185.677,16583866,134217728
63,1239062498846.0332,16583907,134217728
64,1253504380148.3086,16583962,134217728
65,4350937759336.0996,16583985,134217728
66,3083976195399.922,16585113,134217728
67,4279902040816.3267,16585146,134217728
68,4341789150195.7104,16585169,134217728
69,1242365625636.3738,16585210,134217728
70,1253879112871.5833,16585265,134217728
71,4346429015544.042,16585288,134217728
72,3127670589331.9043,16585711,134217728
73,4310692702980.4727,16585744,134217728
74,4306128781802.432,16585767,134217728
75,1230339426161.8848,16585808,134217728
76,1254254069713.1108,16585863,134217728
77,4391941361256.5444,16585886,134217728
78,3170222925573.375,16586365,134217728
79,4185932135728.5425,16586398,134217728
80,4297305029936.2856,16586421,134217728
81,1241630076412.1445,16586462,134217728
82,1246797287505.806,16586517,134217728
83,4328487100103.199,16586540,134217728
84,3172695915279.879,16586866,134217728
85,4364378369589.9585,16586899,134217728
86,4319571575695.16,16586922,134217728
87,1238342279835.7708,16586963,134217728
88,1256520291713.866,16587018,134217728
89,4364378369589.9585,16587041,134217728
90,3179836717287.782,16588169,134217728
91,4227995841864.8604,16588202,134217728
92,4346429015544.042,16588225,134217728
93,1239073937648.2861,16588266,134217728
94,1250887509552.8342,16588321,134217728
95,4249548125633.232,16588344,134217728
96,3151242674680.691,16588767,134217728
97,4219489075418.9067,16588800,134217728
98,4355455867082.0356,16588823,134217728
99,1236141096723.093,16588864,134217728
100,1251645743381.235,16588919,134217728
101,4253723195892.625,16588942,134217728
102,3106891851851.852,16589421,134217728
103,4227995841864.8604,16589454,134217728
104,4387347280334.728,16589477,134217728
105,1246797287505.806,16589518,134217728
106,1244946925146.0903,16589573,134217728
107,4177463599863.0522,16589596,134217728
108,3127670589331.9043,16589922,134217728
109,4177593625498.008,16589955,134217728
110,4332818801045.9375,16589978,134217728
111,1235776889789.1538,16590019,134217728
112,1255756142287.7563,16590074,134217728
113,4232395560040.364,16590097,134217728
114,3151168689690.794,16591225,134217728
115,4099878669395.485,16591258,134217728
116,4405781512605.042,16591281,134217728
117,1237965356306.1484,16591322,134217728
118,1248281542382.0242,16591377,134217728
119,4227995841864.8604,16591400,134217728
120,3123012960420.6904,16591823,134217728
121,4025123046933.573,16591856,134217728
122,4429043294614.572,16591879,134217728
123,1235412897406.1597,16591920,134217728
124,1254254069713.1108,16591975,134217728
125,4310554260204.9004,16591998,134217728
126,3090793966609.096,16592477,134217728
127,3986862557552.3545,16592510,134217728
128,4419709167544.784,16592533,134217728
129,1233596147129.6482,16592574,134217728
130,1250141837894.227,16592629,134217728
131,4292906700783.624,16592652,134217728
132,3079447699896.7534,16592978,134217728
133,4152776237623.762,16593011,134217728
134,4341789150195.7104,16593034,134217728
135,1239428645304.2754,16593075,134217728
136,1224591960000.73,16593130,134217728
137,4228129032258.0645,16593153,134217728
138,3013081782467.168,16594281,134217728
139,4297305029936.2856,16594314,134217728
140,4369066666666.667,16594337,134217728
141,1241630076412.1445,16594378,134217728
142,1254254069713.1108,16594433,134217728
143,4249413582396.707,16594456,134217728
144,3106819934723.733,16594879,134217728
145,4120014979893.7905,16594912,134217728
146,4382762800417.973,16594935,134217728
147,1235776889789.1538,16594976,134217728
148,1256508528525.155,16595031,134217728
149,4258176649746.1934,16595054,134217728
150,3102224153472.784,16595533,134217728
151,4044651880424.301,16595566,134217728
152,4378187891440.501,16595589,134217728
153,1231784732291.9917,16595630,134217728
154,1246426775134.1914,16595685,134217728
155,4185932135728.5425,16595708,134217728
156,3093073260664.162,16596034,134217728
157,4223871097683.786,16596067,134217728
158,4378045079427.2104,16596090,134217728
159,1234322205668.6714,16596131,134217728
160,1247910147460.8103,16596186,134217728
161,4328487100103.199,16596209,134217728
162,3141727206760.1416,16597337,134217728
163,4173436815920.3984,16597370,134217728
164,4447682937336.382,16597393,134217728
165,1236870155003.041,16597434,134217728
166,1253504380148.3086,16597489,134217728
167,4293044012282.4976,16597512,134217728
168,3097641948810.2656,16597935,134217728
169,4124192723697.1484,16597968,134217728
170,4341789150195.7104,16597991,134217728
171,1236870155003.041,16598032,134217728
172,1252381524680.4143,16598087,134217728
173,4288654396728.0166,16598110,134217728
174,3194367232310.7314,16598589,134217728
175,4048555984555.984,16598622,134217728
176,4350796719504.6836,16598645,134217728
177,1235776889789.1538,16598686,134217728
178,1252755586253.2434,16598741,134217728
179,4387347280334.728,16598764,134217728
180,3139375669543.6577,16599090,134217728
181,4148540413562.8843,16599123,134217728
182,4466777422790.203,16599146,134217728
183,1240539850082.7227,16599187,134217728
184,1234333557114.8735,16599242,134217728
185,4328347512012.6416,16599265,134217728
186,3116052469064.147,16601417,134217728
187,4161015873015.8735,16601450,134217728
188,4369066666666.667,16601473,134217728
189,4401014132537.627,16601589,134217728
190,3127670589331.9043,16602012,134217728
191,4165018712179.984,16602045,134217728
192,4293044012282.4976,16602068,134217728
193,4369066666666.667,16602184,134217728
194,3141727206760.1416,16602663,134217728
195,4100003910068.4263,16602696,134217728
196,4341789150195.7104,16602719,134217728
197,4279902040816.3267,16602835,134217728
198,3095427306273.063,16603161,134217728
199,4044651880424.301,16603194,134217728
200,4387203870166.3784,16603217,134217728
201,4387347280334.728,16603333,134217728
202,3079447699896.7534,16604461,134217728
203,4206792916470.7725,16604494,134217728
204,4292906700783.624,16604517,134217728
205,4310692702980.4727,16604633,134217728
