idx,FLOPS,Correlation,Num_of_Operations
0,2974617761131.18,4490231,134217728
1,3847875003583.613,4490264,134217728
2,3979415559772.296,4490287,134217728
3,3819948998178.506,4490403,134217728
4,2998005941611.383,4490832,134217728
5,3876436229205.176,4490865,134217728
6,4083910786551.0415,4490888,134217728
7,4025243761996.1616,4491004,134217728
8,3037081166700.609,4491489,134217728
9,3923577174929.8413,4491522,134217728
10,3979297577752.0825,4491545,134217728
11,2623028161582.208,4491661,134217728
12,3017484892086.3315,4491993,134217728
13,4173436815920.3984,4492026,134217728
14,4350937759336.0996,4492049,134217728
15,4240820499857.8154,4492165,134217728
16,3006669534050.179,4493299,134217728
17,4048433867221.6694,4493332,134217728
18,4124192723697.1484,4493355,134217728
19,3472016141966.5264,4493471,134217728
20,3074932484134.8027,4493900,134217728
21,4064248062015.504,4493933,134217728
22,4148540413562.8843,4493956,134217728
23,4100003910068.4263,4494072,134217728
24,3059232967884.576,4494557,134217728
25,4060190821913.6636,4494590,134217728
26,4108035259549.462,4494613,134217728
27,4103890169698.8228,4494729,134217728
28,3090793966609.096,4495061,134217728
29,4206924774322.969,4495094,134217728
30,4306128781802.432,4495117,134217728
31,4324024742268.041,4495233,134217728
32,2949516053180.9688,4496367,134217728
33,4068066802048.9194,4496400,134217728
34,4173436815920.3984,4496423,134217728
35,4052345279429.9683,4496539,134217728
36,3061535766423.3574,4496968,134217728
37,3994575238095.238,4497001,134217728
38,4165147964250.249,4497024,134217728
39,4079938231449.6763,4497140,134217728
40,3118369182872.1455,4497625,134217728
41,4056386847195.358,4497658,134217728
42,4103890169698.8228,4497681,134217728
43,4091879150025.914,4497797,134217728
44,3072750183150.183,4498129,134217728
45,4185801590519.258,4498162,134217728
46,4319571575695.16,4498185,134217728
47,4279902040816.3267,4498301,134217728
48,3002297908511.352,4499435,134217728
49,4040755298651.252,4499468,134217728
50,4194172932095.872,4499491,134217728
51,4021384467881.1123,4499607,134217728
52,3074932484134.8027,4500036,134217728
53,4079938231449.6763,4500069,134217728
54,4068066802048.9194,4500092,134217728
55,4036744804355.018,4500208,134217728
56,3054776794046.0205,4500693,134217728
57,4032863435593.8823,4500726,134217728
58,4161015873015.8735,4500749,134217728
59,3971878787878.7876,4500865,134217728
60,3093144542772.8613,4501197,134217728
61,4044529998493.295,4501230,134217728
62,4405781512605.042,4501253,134217728
63,4215248516064.194,4501369,134217728
64,3054776794046.0205,4502503,134217728
65,3956890566037.736,4502536,134217728
66,4128251968503.9365,4502559,134217728
67,4013688038277.512,4502675,134217728
68,3097641948810.2656,4503104,134217728
69,3990655843962.7744,4503137,134217728
70,4165147964250.249,4503160,134217728
71,3964253418790.797,4503276,134217728
72,3088518029316.3354,4503761,134217728
73,3890707249905.789,4503794,134217728
74,4092003902439.025,4503817,134217728
75,4064124996214.9893,4503933,134217728
76,3127670589331.9043,4504265,134217728
77,4040755298651.252,4504298,134217728
78,4368924449073.9233,4504321,134217728
79,4310554260204.9004,4504437,134217728
80,3123085629188.3843,4505571,134217728
81,4075973397309.3623,4505604,134217728
82,4173307048910.171,4505627,134217728
83,4036744804355.018,4505743,134217728
84,3184741078208.0483,4506172,134217728
85,4079938231449.6763,4506205,134217728
86,4104015655577.299,4506228,134217728
87,4028989523609.4014,4506344,134217728
88,3113811432813.66,4506829,134217728
89,4036866217516.8433,4506862,134217728
90,4136394477317.5547,4506885,134217728
91,4115971909595.5107,4507001,134217728
92,3099931357830.797,4507333,134217728
93,4124066000921.8003,4507366,134217728
94,4315127572016.461,4507389,134217728
95,4194304000000.0,4507505,134217728
96,3010918814635.35,4508639,134217728
97,4095999999999.9995,4508672,134217728
98,4165018712179.984,4508695,134217728
99,4072139805825.242,4508811,134217728
100,3052553571834.7017,4509240,134217728
101,4144441191909.8354,4509273,134217728
102,4177593625498.008,4509296,134217728
103,4104015655577.299,4509412,134217728
104,3026193362193.3623,4509897,134217728
105,4136267003605.658,4509930,134217728
106,4232395560040.364,4509953,134217728
107,4107909527744.6206,4510069,134217728
108,3079447699896.7534,4510401,134217728
109,4271049419252.188,4510434,134217728
110,4245112692538.824,4510457,134217728
111,4293044012282.4976,4510573,134217728
112,3008826398852.224,4511707,134217728
113,4124066000921.8003,4511740,134217728
114,4116098135426.8896,4511763,134217728
115,4013568015310.547,4511879,134217728
116,3054776794046.0205,4512308,134217728
117,4169288270377.734,4512341,134217728
118,4189983079948.8022,4512364,134217728
119,4084035053554.0415,4512480,134217728
120,3065941658861.9595,4512965,134217728
121,4161015873015.8735,4512998,134217728
122,4087891085188.6826,4513021,134217728
123,4152776237623.762,4513137,134217728
124,3095355918913.309,4513469,134217728
125,4262368700181.015,4513502,134217728
126,4319571575695.16,4513525,134217728
127,4315127572016.461,4513641,134217728
128,3125340039585.516,4514775,134217728
129,4075973397309.3623,4514808,134217728
130,4169288270377.734,4514831,134217728
131,3986980988593.156,4514947,134217728
132,3086245441375.9805,4515376,134217728
133,4002198473282.443,4515409,134217728
134,4087891085188.6826,4515432,134217728
135,4044651880424.301,4515548,134217728
136,3072679837915.799,4516033,134217728
137,4060190821913.6636,4516066,134217728
138,4249548125633.232,4516089,134217728
139,4068066802048.9194,4516205,134217728
140,3088518029316.3354,4516537,134217728
141,4198502502502.502,4516570,134217728
142,4442971564765.468,4516593,134217728
143,4227995841864.8604,4516709,134217728
144,3065941658861.9595,4517843,134217728
145,4006021012416.428,4517876,134217728
146,4227995841864.8604,4517899,134217728
147,4068066802048.9194,4518015,134217728
148,3063772096420.745,4518444,134217728
149,3986862557552.3545,4518477,134217728
150,4148668644906.0337,4518500,134217728
151,4040633651443.538,4518616,134217728
152,3097641948810.2656,4519101,134217728
153,4017532567049.808,4519134,134217728
154,4128251968503.9365,4519157,134217728
155,4152776237623.762,4519273,134217728
156,3095427306273.063,4519605,134217728
157,4083910786551.0415,4519638,134217728
158,4369066666666.667,4519661,134217728
159,4288654396728.0166,4519777,134217728
160,3059302698760.029,4520911,134217728
161,3938313615023.474,4520944,134217728
162,4103890169698.8228,4520967,134217728
163,4072016261642.5474,4521083,134217728
164,3118441635687.7324,4521512,134217728
165,3883502444952.4033,4521545,134217728
166,4190113886113.8867,4521568,134217728
167,4124066000921.8003,4521684,134217728
168,3059232967884.576,4522169,134217728
169,4060313649564.376,4522202,134217728
170,4152647752235.389,4522225,134217728
171,4132319211822.6606,4522341,134217728
172,3050333583327.6514,4522673,134217728
173,3960510136032.341,4522706,134217728
174,4324024742268.041,4522729,134217728
175,4359841741107.6826,4522845,134217728
176,3026125132460.0366,4523979,134217728
177,3968121097445.6006,4524012,134217728
178,4185932135728.5425,4524035,134217728
179,4048555984555.984,4524151,134217728
180,3106819934723.733,4524580,134217728
181,4021384467881.1123,4524613,134217728
182,4173307048910.171,4524636,134217728
183,4108035259549.462,4524752,134217728
184,3104520343256.309,4525237,134217728
185,4087891085188.6826,4525270,134217728
186,4190113886113.8867,4525293,134217728
187,4083910786551.0415,4525409,134217728
188,3086316409124.356,4525741,134217728
189,4185801590519.258,4525774,134217728
190,4410414300736.067,4525797,134217728
191,4337439503619.4414,4525913,134217728
192,3052622998544.3955,4527047,134217728
193,4075973397309.3623,4527080,134217728
194,4228129032258.0645,4527103,134217728
195,4068190106692.5317,4527219,134217728
196,3061465933715.0156,4527648,134217728
197,4017532567049.808,4527681,134217728
198,4132191989162.895,4527704,134217728
199,4148668644906.0337,4527820,134217728
200,3070500732064.4214,4528305,134217728
201,4028989523609.4014,4528338,134217728
202,4100003910068.4263,4528361,134217728
203,4132191989162.895,4528477,134217728
204,3214026053639.8467,4528809,134217728
205,4240820499857.8154,4528842,134217728
206,4240954499494.439,4528865,134217728
207,4447682937336.382,4528981,134217728
208,3041485825647.5337,4530115,134217728
209,4116098135426.8896,4530148,134217728
210,4279902040816.3267,4530171,134217728
211,3990774500475.7373,4530287,134217728
212,3106819934723.733,4530716,134217728
213,4112062745098.0396,4530749,134217728
214,4206792916470.7725,4530772,134217728
215,4002079136476.131,4530888,134217728
216,3095355918913.309,4531373,134217728
217,4169288270377.734,4531406,134217728
218,4132191989162.895,4531429,134217728
219,4044651880424.301,4531545,134217728
220,3063702161656.281,4531877,134217728
221,4240820499857.8154,4531910,134217728
222,4443118644067.797,4531933,134217728
223,4232395560040.364,4532049,134217728
224,3032689246898.796,4533183,134217728
225,4006021012416.428,4533216,134217728
226,4088015594541.91,4533239,134217728
227,4013688038277.512,4533355,134217728
228,3090793966609.096,4533784,134217728
229,4044529998493.295,4533817,134217728
230,4161015873015.8735,4533840,134217728
231,4095875003814.581,4533956,134217728
