idx,pinned time (s),bytes transferred (B)
0,931.284,16785408
1,902.386,16785408
2,688.421,16785408
3,3702.883,16785408
4,638.21,16785408
5,559.009,16785408
6,555.858,16785408
7,544.864,16785408
8,607.164,16785408
9,543.989,16785408
10,486.225,16785408
11,540.101,16785408
12,564.001,16785408
13,494.51,16785408
14,531.234,16785408
15,497.127,16785408
16,538.196,16785408
17,426.769,16785408
18,489.585,16785408
19,447.364,16785408
20,520.678,16785408
21,439.129,16785408
22,497.129,16785408
23,395.764,16785408
24,527.61,16785408
25,440.012,16785408
26,452.066,16785408
27,392.545,16785408
28,497.063,16785408
29,421.869,16785408
30,445.753,16785408
31,371.027,16785408
32,488.899,16785408
33,423.885,16785408
34,472.686,16785408
35,370.068,16785408
36,494.855,16785408
37,437.516,16785408
38,450.405,16785408
39,362.685,16785408
40,545.673,16785408
41,412.368,16785408
42,441.56,16785408
43,344.677,16785408
44,550.338,16785408
45,386.75,16785408
46,427.686,16785408
47,349.46,16785408
48,522.913,16785408
49,399.264,16785408
50,437.699,16785408
51,340.799,16785408
52,521.748,16785408
53,400.417,16785408
54,423.105,16785408
55,358.575,16785408
56,495.799,16785408
57,435.506,16785408
58,475.583,16785408
59,343.901,16785408
60,514.23,16785408
61,382.843,16785408
62,484.382,16785408
63,357.86,16785408
64,513.297,16785408
65,371.84,16785408
66,474.563,16785408
67,362.856,16785408
68,478.069,16785408
69,387.769,16785408
70,459.154,16785408
71,350.231,16785408
72,491.411,16785408
73,378.432,16785408
74,451.353,16785408
75,354.904,16785408
76,525.564,16785408
77,391.934,16785408
78,438.253,16785408
79,370.986,16785408
80,530.407,16785408
81,389.346,16785408
82,435.283,16785408
83,374.159,16785408
84,509.192,16785408
85,390.015,16785408
86,452.724,16785408
87,364.332,16785408
88,591.599,16785408
89,369.34,16785408
90,466.728,16785408
91,349.935,16785408
92,475.664,16785408
93,399.215,16785408
94,449.115,16785408
95,360.745,16785408
96,461.368,16785408
97,431.097,16785408
98,442.923,16785408
99,388.306,16785408
100,487.755,16785408
101,416.267,16785408
102,500.491,16785408
103,386.099,16785408
104,523.633,16785408
105,404.949,16785408
106,451.91,16785408
107,345.792,16785408
108,505.97,16785408
109,409.653,16785408
110,445.77,16785408
111,365.966,16785408
112,524.963,16785408
113,429.456,16785408
114,395.894,16785408
115,381.735,16785408
116,534.255,16785408
117,428.275,16785408
118,394.873,16785408
119,381.908,16785408
120,569.646,16785408
121,449.828,16785408
122,569.994,16785408
123,388.096,16785408
124,519.68,16785408
125,442.694,16785408
126,432.918,16785408
127,354.792,16785408
128,501.06,16793600
129,445.039,16793600
130,426.375,16793600
131,426.932,16793600
132,504.154,16793600
133,439.454,16793600
134,486.258,16793600
135,436.387,16793600
136,507.622,16793600
137,407.655,16793600
138,499.785,16793600
139,431.019,16793600
140,505.914,16793600
141,420.378,16793600
142,485.504,16793600
143,414.68,16793600
144,517.205,16793600
145,500.762,16793600
146,443.084,16793600
147,446.512,16793600
148,486.154,16793600
149,398.697,16793600
150,470.173,16793600
151,380.594,16793600
152,472.648,16793600
153,357.948,16793600
154,436.507,16793600
155,356.707,16793600
156,493.587,16793600
157,367.279,16793600
158,422.56,16793600
159,359.97,16793600
160,475.542,16793600
161,404.511,16793600
162,459.559,16793600
163,365.409,16793600
164,450.906,16793600
165,384.531,16793600
166,447.259,16793600
167,358.435,16793600
168,482.905,16793600
169,441.564,16793600
170,419.261,16793600
171,385.076,16793600
172,462.52,16793600
173,368.363,16793600
174,402.043,16793600
175,338.851,16793600
176,466.224,16793600
177,345.049,16793600
178,405.888,16793600
179,348.86,16793600
180,456.019,16793600
181,332.896,16793600
182,397.237,16793600
183,344.868,16793600
184,517.816,16793600
185,357.372,16793600
186,401.28,16793600
187,331.538,16793600
188,463.205,16793600
189,442.969,16793600
190,404.146,16793600
191,354.119,16793600
192,501.685,16793600
193,335.261,16793600
194,445.449,16793600
195,332.856,16793600
196,436.295,16793600
197,335.397,16793600
198,1485.836,16793600
199,366.666,16793600
200,456.981,16793600
201,346.962,16793600
202,417.908,16793600
203,342.085,16793600
204,447.74,16793600
205,353.589,16793600
206,421.876,16793600
207,338.493,16793600
208,467.984,16793600
209,322.14,16793600
210,416.689,16793600
211,349.355,16793600
212,441.094,16793600
213,327.604,16793600
214,460.454,16793600
215,397.827,16793600
216,486.934,16793600
217,430.318,16793600
218,541.815,16793600
219,347.557,16793600
220,461.306,16793600
221,477.212,16793600
222,452.24,16793600
223,341.563,16793600
224,470.193,16793600
225,334.201,16793600
226,437.044,16793600
227,327.077,16793600
