idx,pinned time (s),bytes transferred (B)
0,2235.464,16785408
1,1966.681,16785408
2,2098.148,16785408
3,865.153,16785408
4,1678.415,16785408
5,1513.745,16785408
6,641.051,16785408
7,588.862,16785408
8,538.129,16785408
9,497.912,16785408
10,569.16,16785408
11,557.862,16785408
12,595.935,16785408
13,444.986,16785408
14,581.439,16785408
15,514.766,16785408
16,501.798,16785408
17,432.635,16785408
18,535.28,16785408
19,528.918,16785408
20,442.713,16785408
21,372.445,16785408
22,532.866,16785408
23,498.144,16785408
24,502.927,16785408
25,383.104,16785408
26,443.994,16785408
27,483.955,16785408
28,520.244,16785408
29,356.612,16785408
30,477.18,16785408
31,482.181,16785408
32,516.314,16785408
33,380.912,16785408
34,516.117,16785408
35,425.089,16785408
36,469.42,16785408
37,353.625,16785408
38,506.158,16785408
39,418.206,16785408
40,505.403,16785408
41,418.753,16785408
42,546.845,16785408
43,442.564,16785408
44,436.101,16785408
45,404.8,16785408
46,474.458,16785408
47,431.509,16785408
48,560.988,16785408
49,360.421,16785408
50,489.524,16785408
51,367.903,16785408
52,508.496,16785408
53,347.291,16785408
54,491.76,16785408
55,370.026,16785408
56,480.34,16785408
57,354.08,16785408
58,433.481,16785408
59,356.182,16785408
60,449.991,16785408
61,339.455,16785408
62,526.693,16785408
63,386.228,16785408
64,463.611,16785408
65,399.536,16785408
66,479.475,16785408
67,355.711,16785408
68,428.201,16785408
69,319.381,16785408
70,482.569,16785408
71,363.624,16785408
72,461.89,16785408
73,331.525,16785408
74,523.152,16785408
75,335.513,16785408
76,452.462,16785408
77,358.935,16785408
78,475.58,16785408
79,346.835,16785408
80,445.793,16785408
81,378.963,16785408
82,461.623,16785408
83,331.755,16785408
84,465.419,16785408
85,388.023,16785408
86,488.266,16785408
87,338.745,16785408
88,480.845,16785408
89,336.135,16785408
90,417.375,16785408
91,427.136,16785408
92,446.651,16785408
93,410.68,16785408
94,468.988,16785408
95,445.85,16785408
96,513.978,16785408
97,391.567,16785408
98,457.497,16785408
99,364.034,16785408
100,403.988,16785408
101,399.335,16785408
102,412.923,16785408
103,389.759,16785408
104,546.69,16785408
105,345.325,16785408
106,445.776,16785408
107,398.663,16785408
108,427.623,16785408
109,347.508,16785408
110,501.255,16785408
111,344.98,16785408
112,480.783,16785408
113,368.089,16785408
114,449.423,16785408
115,389.511,16785408
116,427.729,16785408
117,442.288,16785408
118,496.837,16785408
119,330.783,16785408
120,449.297,16785408
121,407.287,16785408
122,472.957,16785408
123,347.617,16785408
124,443.725,16785408
125,416.522,16785408
126,438.615,16785408
127,431.944,16785408
128,489.583,16785408
129,459.192,16785408
130,447.284,16785408
131,442.861,16785408
132,517.456,16785408
133,461.248,16785408
134,502.023,16785408
135,341.054,16785408
136,513.133,16785408
137,453.92,16785408
138,489.703,16785408
139,442.291,16785408
140,465.498,16785408
141,404.44,16785408
142,438.918,16785408
143,450.016,16785408
144,493.901,16785408
145,392.824,16785408
146,516.229,16785408
147,400.109,16785408
148,492.269,16785408
149,428.933,16785408
150,455.06,16785408
151,443.013,16785408
152,493.62,16785408
153,393.081,16785408
154,542.354,16785408
155,388.134,16785408
156,440.312,16785408
157,425.577,16785408
158,432.575,16785408
159,440.016,16785408
160,524.624,16785408
161,370.713,16785408
162,484.38,16785408
163,453.829,16785408
164,569.072,16785408
165,403.189,16785408
166,508.476,16785408
167,358.156,16785408
168,555.891,16785408
169,397.692,16785408
170,412.203,16785408
171,467.949,16785408
