idx,pinned time (s),bytes transferred (B)
0,1569.653,23511040
1,1423.334,23511040
2,1170.198,23511040
3,1127.674,23511040
4,1024.675,23511040
5,732.469,23511040
6,805.703,23511040
7,793.084,23511040
8,781.902,23511040
9,690.545,23511040
10,751.214,23511040
11,721.742,23511040
12,777.166,23511040
13,690.458,23511040
14,749.115,23511040
15,755.593,23511040
16,790.232,23511040
17,733.82,23511040
18,767.921,23511040
19,691.638,23511040
20,796.487,23511040
21,679.805,23511040
22,743.142,23511040
23,722.433,23511040
24,745.789,23511040
25,738.37,23511040
26,776.41,23511040
27,692.212,23511040
28,688.102,23511040
29,649.075,23511040
30,757.415,23511040
31,684.807,23511040
32,743.96,23511040
33,519.717,23511040
34,753.44,23511040
35,664.279,23511040
36,714.741,23511040
37,524.032,23511040
38,734.223,23511040
39,699.563,23511040
40,730.984,23511040
41,497.378,23511040
42,760.758,23511040
43,692.655,23511040
44,714.826,23511040
45,526.081,23511040
46,554.72,23511040
47,671.034,23511040
48,674.575,23511040
49,512.299,23511040
50,756.355,23511040
51,545.098,23511040
52,644.476,23511040
53,525.697,23511040
54,757.879,23511040
55,506.78,23511040
56,725.252,23511040
57,533.03,23511040
58,772.338,23511040
59,523.603,23511040
60,589.112,23511040
61,650.736,23511040
62,713.807,23511040
63,695.187,23511040
64,674.522,23527424
65,607.259,23527424
66,669.685,23527424
67,621.293,23527424
68,664.711,23527424
69,573.227,23527424
70,672.642,23527424
71,563.84,23527424
72,2388.529,23527424
73,732.549,23527424
74,664.919,23527424
75,633.826,23527424
76,661.446,23527424
77,577.901,23527424
78,639.055,23527424
79,558.003,23527424
80,644.818,23527424
81,533.724,23527424
82,649.054,23527424
83,540.045,23527424
84,803.871,23527424
85,582.89,23527424
86,653.819,23527424
87,566.766,23527424
88,678.099,23527424
89,576.886,23527424
90,643.276,23527424
91,564.874,23527424
92,799.856,23527424
93,562.606,23527424
94,656.221,23527424
95,558.825,23527424
96,656.131,23527424
97,422.392,23527424
98,656.002,23527424
99,581.444,23527424
100,630.817,23527424
101,443.779,23527424
102,636.404,23527424
103,552.718,23527424
104,626.094,23527424
105,462.345,23527424
106,797.643,23527424
107,571.039,23527424
108,612.915,23527424
109,443.06,23527424
110,827.555,23527424
111,544.652,23527424
112,607.24,23527424
113,463.071,23527424
114,644.704,23527424
115,469.565,23527424
116,600.683,23527424
117,480.081,23527424
118,650.296,23527424
119,484.03,23527424
120,613.285,23527424
121,464.891,23527424
122,654.6,23527424
123,465.142,23527424
124,559.358,23527424
125,514.024,23527424
126,638.198,23527424
127,526.603,23527424
128,674.999,23543808
129,558.538,23543808
130,664.575,23543808
131,550.81,23543808
132,626.52,23543808
133,543.98,23543808
134,643.363,23543808
135,588.587,23543808
136,799.823,23543808
137,585.183,23543808
138,625.275,23543808
139,547.572,23543808
140,659.3,23543808
141,548.556,23543808
142,669.924,23543808
143,552.849,23543808
144,675.938,23543808
145,532.054,23543808
146,673.364,23543808
147,548.77,23543808
148,666.318,23543808
149,1191.079,23543808
150,658.508,23543808
151,550.079,23543808
152,668.385,23543808
153,559.187,23543808
154,662.206,23543808
155,565.312,23543808
156,643.109,23543808
157,545.02,23543808
158,638.67,23543808
159,552.041,23543808
160,687.234,23543808
161,425.754,23543808
162,648.91,23543808
163,544.755,23543808
164,635.496,23543808
165,438.422,23543808
166,602.02,23543808
167,577.395,23543808
168,646.502,23543808
169,455.571,23543808
170,661.618,23543808
171,537.17,23543808
172,624.819,23543808
173,434.505,23543808
174,567.553,23543808
175,541.601,23543808
176,636.44,23543808
177,490.275,23543808
178,640.897,23543808
179,470.311,23543808
180,604.854,23543808
181,469.745,23543808
182,659.061,23543808
183,487.924,23543808
184,615.538,23543808
185,478.397,23543808
186,638.534,23543808
187,465.154,23543808
188,576.573,23543808
189,514.931,23543808
190,649.699,23543808
191,536.712,23543808
192,671.081,23560192
193,556.513,23560192
194,649.068,23560192
195,545.309,23560192
196,919.495,23560192
197,551.885,23560192
198,665.906,23560192
199,622.19,23560192
200,647.846,23560192
201,576.121,23560192
202,644.307,23560192
203,568.437,23560192
204,654.828,23560192
205,575.364,23560192
206,679.006,23560192
207,587.397,23560192
208,645.826,23560192
209,562.254,23560192
210,631.121,23560192
211,553.801,23560192
212,640.593,23560192
213,562.443,23560192
214,677.071,23560192
215,555.821,23560192
216,715.11,23560192
217,575.887,23560192
218,617.449,23560192
219,625.39,23560192
220,665.165,23560192
221,536.358,23560192
222,697.095,23560192
223,575.884,23560192
224,708.236,23560192
225,430.95,23560192
226,629.859,23560192
227,568.117,23560192
228,618.873,23560192
229,440.364,23560192
230,632.229,23560192
231,574.832,23560192
232,663.538,23560192
233,455.203,23560192
234,655.998,23560192
235,544.869,23560192
236,635.345,23560192
237,443.218,23560192
238,551.909,23560192
239,547.081,23560192
240,620.703,23560192
241,489.289,23560192
242,679.629,23560192
243,481.419,23560192
244,619.873,23560192
245,500.212,23560192
246,705.376,23560192
247,492.269,23560192
248,634.349,23560192
249,485.511,23560192
250,1118.378,23560192
251,501.884,23560192
252,618.142,23560192
253,563.3,23560192
254,631.442,23560192
255,569.332,23560192
256,666.181,23576576
257,567.827,23576576
258,647.944,23576576
259,569.943,23576576
260,693.13,23576576
261,583.934,23576576
262,654.328,23576576
263,594.759,23576576
264,683.101,23576576
265,564.033,23576576
266,676.828,23576576
267,574.35,23576576
268,673.177,23576576
269,585.198,23576576
270,683.594,23576576
271,600.532,23576576
272,693.467,23576576
273,600.762,23576576
274,708.362,23576576
275,558.49,23576576
276,651.601,23576576
277,588.582,23576576
278,711.556,23576576
279,555.725,23576576
280,790.767,23576576
281,604.85,23576576
282,665.723,23576576
283,547.877,23576576
284,633.127,23576576
285,523.037,23576576
286,662.189,23576576
287,548.779,23576576
288,665.28,23576576
289,430.654,23576576
290,611.356,23576576
291,563.989,23576576
292,689.584,23576576
293,439.222,23576576
294,791.437,23576576
295,657.886,23576576
296,669.945,23576576
297,513.698,23576576
298,676.126,23576576
299,538.756,23576576
300,630.408,23576576
301,471.642,23576576
302,599.782,23576576
303,651.873,23576576
304,644.525,23576576
305,457.09,23576576
306,677.872,23576576
307,477.368,23576576
308,617.43,23576576
309,879.245,23576576
310,636.215,23576576
311,472.211,23576576
312,620.713,23576576
313,464.908,23576576
314,657.94,23576576
315,463.587,23576576
316,592.221,23576576
317,539.773,23576576
318,683.011,23576576
319,580.909,23576576
320,798.191,23592960
321,592.888,23592960
322,639.067,23592960
323,581.211,23592960
324,670.992,23592960
325,525.612,23592960
326,627.883,23592960
327,569.679,23592960
328,657.547,23592960
329,553.413,23592960
330,671.053,23592960
331,547.905,23592960
332,630.725,23592960
333,559.867,23592960
334,624.126,23592960
335,554.278,23592960
336,652.069,23592960
337,562.378,23592960
338,642.792,23592960
339,527.691,23592960
340,654.558,23592960
341,527.029,23592960
342,671.69,23592960
343,547.758,23592960
344,667.677,23592960
345,572.549,23592960
346,681.124,23592960
347,636.618,23592960
348,633.27,23592960
349,576.385,23592960
350,668.264,23592960
351,565.736,23592960
352,707.488,23592960
353,481.411,23592960
354,661.671,23592960
355,661.102,23592960
356,632.581,23592960
357,466.0,23592960
358,612.255,23592960
359,565.575,23592960
360,611.182,23592960
361,476.418,23592960
362,672.506,23592960
363,549.816,23592960
364,672.097,23592960
365,489.746,23592960
366,515.141,23592960
367,810.418,23592960
368,613.612,23592960
369,483.517,23592960
370,664.621,23592960
371,475.786,23592960
372,620.661,23592960
373,503.538,23592960
374,686.391,23592960
375,483.536,23592960
376,645.397,23592960
377,489.308,23592960
378,681.25,23592960
379,479.978,23592960
380,589.462,23592960
381,570.629,23592960
382,649.667,23592960
383,596.018,23592960
384,691.742,23609344
385,596.351,23609344
386,683.227,23609344
387,603.998,23609344
388,698.099,23609344
389,575.663,23609344
390,655.294,23609344
391,587.789,23609344
392,666.281,23609344
393,575.09,23609344
394,700.845,23609344
395,586.717,23609344
396,645.426,23609344
397,587.991,23609344
398,655.371,23609344
399,578.628,23609344
400,684.414,23609344
401,561.14,23609344
402,634.938,23609344
403,637.507,23609344
404,667.661,23609344
405,593.466,23609344
406,637.68,23609344
407,699.911,23609344
408,663.33,23609344
409,618.564,23609344
410,701.546,23609344
411,595.607,23609344
412,699.192,23609344
413,587.121,23609344
414,695.717,23609344
415,633.753,23609344
416,706.662,23609344
417,475.23,23609344
418,684.491,23609344
419,590.056,23609344
420,610.833,23609344
421,436.982,23609344
422,643.492,23609344
423,568.232,23609344
424,637.055,23609344
425,475.831,23609344
426,675.319,23609344
427,570.994,23609344
428,672.077,23609344
429,448.7,23609344
430,499.377,23609344
431,597.21,23609344
432,652.094,23609344
433,497.513,23609344
434,696.214,23609344
435,458.41,23609344
436,605.354,23609344
437,481.107,23609344
438,727.747,23609344
439,485.216,23609344
440,617.762,23609344
441,478.438,23609344
442,682.63,23609344
443,480.935,23609344
444,562.847,23609344
445,538.53,23609344
446,611.293,23609344
447,641.094,23609344
448,692.841,23625728
449,618.352,23625728
450,680.642,23625728
451,580.227,23625728
452,713.857,23625728
453,565.668,23625728
454,701.503,23625728
455,586.4,23625728
456,696.767,23625728
457,603.736,23625728
458,664.099,23625728
459,647.128,23625728
460,768.909,23625728
461,600.93,23625728
462,753.132,23625728
463,625.842,23625728
464,678.384,23625728
465,619.325,23625728
466,725.105,23625728
467,564.659,23625728
468,733.579,23625728
469,659.354,23625728
470,706.443,23625728
471,596.509,23625728
472,787.042,23625728
473,574.991,23625728
474,741.334,23625728
475,641.746,23625728
476,674.415,23625728
477,560.819,23625728
478,723.763,23625728
479,594.293,23625728
480,596.389,23625728
481,464.275,23625728
482,683.258,23625728
483,534.054,23625728
484,636.196,23625728
485,445.062,23625728
486,624.532,23625728
487,592.872,23625728
488,638.923,23625728
489,483.201,23625728
490,744.825,23625728
491,594.14,23625728
492,661.605,23625728
493,468.751,23625728
494,566.205,23625728
495,587.77,23625728
496,606.589,23625728
497,462.677,23625728
498,672.834,23625728
499,493.167,23625728
500,654.795,23625728
501,484.051,23625728
502,744.551,23625728
503,494.902,23625728
504,650.906,23625728
505,489.379,23625728
506,733.777,23625728
507,503.541,23625728
508,502.811,23625728
509,572.54,23625728
510,659.609,23625728
511,600.81,23625728
512,667.99,23642112
513,616.184,23642112
514,638.795,23642112
515,611.18,23642112
516,713.33,23642112
517,593.815,23642112
518,680.078,23642112
519,598.124,23642112
520,688.656,23642112
521,5883.469,23642112
522,2512.514,23642112
523,2473.035,23642112
524,2069.134,23642112
525,1951.594,23642112
526,2054.757,23642112
527,850.883,23642112
528,664.971,23642112
529,630.469,23642112
530,676.064,23642112
531,588.779,23642112
532,723.745,23642112
533,583.565,23642112
534,682.542,23642112
535,612.695,23642112
536,685.738,23642112
537,621.589,23642112
538,625.196,23642112
539,734.413,23642112
540,720.413,23642112
541,570.656,23642112
542,680.143,23642112
543,590.973,23642112
544,621.359,23642112
545,468.078,23642112
546,644.804,23642112
547,570.264,23642112
548,656.027,23642112
549,451.887,23642112
550,608.761,23642112
551,592.884,23642112
552,655.107,23642112
553,508.651,23642112
554,728.924,23642112
555,576.152,23642112
556,635.74,23642112
557,441.211,23642112
558,555.19,23642112
559,608.66,23642112
560,652.393,23642112
561,3217.537,23642112
562,686.895,23642112
563,490.505,23642112
564,623.696,23642112
565,513.727,23642112
566,718.388,23642112
567,468.863,23642112
568,696.92,23642112
569,494.288,23642112
570,667.159,23642112
571,573.157,23642112
572,549.067,23642112
573,581.594,23642112
574,633.751,23642112
575,577.134,23642112
576,752.865,23658496
577,2813.391,23658496
578,2781.662,23658496
579,2033.561,23658496
580,2060.251,23658496
581,2110.742,23658496
582,2192.628,23658496
583,1995.128,23658496
584,2067.532,23658496
585,580.104,23658496
586,536.556,23658496
587,521.649,23658496
588,549.127,23658496
589,464.248,23658496
590,520.142,23658496
591,591.957,23658496
592,676.049,23658496
593,599.34,23658496
594,651.385,23658496
595,578.391,23658496
596,689.099,23658496
597,5021.582,23658496
598,2185.91,23658496
599,2048.171,23658496
600,2126.515,23658496
601,1991.115,23658496
602,2086.377,23658496
603,1945.284,23658496
604,712.849,23658496
605,629.742,23658496
606,637.779,23658496
607,606.021,23658496
608,644.444,23658496
609,510.891,23658496
610,650.891,23658496
611,641.199,23658496
612,666.575,23658496
613,432.104,23658496
614,651.233,23658496
615,543.659,23658496
616,642.777,23658496
617,467.94,23658496
618,755.872,23658496
619,640.638,23658496
620,630.444,23658496
621,496.303,23658496
622,554.919,23658496
623,532.992,23658496
624,602.781,23658496
625,443.69,23658496
626,667.415,23658496
627,470.245,23658496
628,626.994,23658496
629,575.81,23658496
630,654.018,23658496
631,455.425,23658496
632,632.987,23658496
633,430.425,23658496
634,657.231,23658496
635,466.806,23658496
636,562.825,23658496
637,498.81,23658496
638,625.966,23658496
639,554.763,23658496
640,3209.913,23674880
641,496.579,23674880
642,636.426,23674880
643,512.593,23674880
644,575.624,23674880
645,466.14,23674880
646,523.862,23674880
647,442.275,23674880
648,558.847,23674880
649,457.831,23674880
650,573.247,23674880
651,478.751,23674880
652,580.604,23674880
653,516.626,23674880
654,596.001,23674880
655,3362.942,23674880
656,3643.571,23674880
657,2268.687,23674880
658,2399.385,23674880
659,2002.813,23674880
660,2361.002,23674880
661,586.32,23674880
662,580.154,23674880
663,511.691,23674880
664,586.204,23674880
665,453.25,23674880
666,563.168,23674880
667,484.147,23674880
668,690.725,23674880
669,538.173,23674880
670,677.974,23674880
671,540.329,23674880
672,650.743,23674880
673,447.999,23674880
674,653.373,23674880
675,554.632,23674880
676,618.282,23674880
677,438.43,23674880
678,674.843,23674880
679,599.374,23674880
680,605.129,23674880
681,427.779,23674880
682,696.285,23674880
683,530.779,23674880
684,624.879,23674880
685,436.316,23674880
686,546.512,23674880
687,548.166,23674880
688,633.872,23674880
689,635.371,23674880
690,678.575,23674880
691,467.743,23674880
692,615.64,23674880
693,468.055,23674880
694,646.885,23674880
695,448.137,23674880
696,620.177,23674880
697,456.089,23674880
698,709.711,23674880
699,465.67,23674880
700,578.54,23674880
701,564.822,23674880
702,610.5,23674880
703,602.79,23674880
704,596.903,23691264
705,461.183,23691264
706,584.457,23691264
707,479.257,23691264
708,649.222,23691264
709,460.226,23691264
710,595.07,23691264
711,480.719,23691264
712,595.905,23691264
713,469.87,23691264
714,575.741,23691264
715,473.297,23691264
716,572.61,23691264
717,590.855,23691264
718,560.644,23691264
719,488.941,23691264
720,1253.138,23691264
721,599.355,23691264
722,556.584,23691264
723,487.783,23691264
724,581.227,23691264
725,439.731,23691264
726,568.942,23691264
727,516.834,23691264
728,583.369,23691264
729,502.098,23691264
730,514.642,23691264
731,461.278,23691264
732,656.905,23691264
733,531.326,23691264
734,658.838,23691264
735,581.73,23691264
736,658.513,23691264
737,433.46,23691264
738,708.702,23691264
739,550.406,23691264
