idx,pinned time (s),bytes transferred (B)
0,2043.278,13451264
1,797.813,13451264
2,627.986,13451264
3,699.846,13451264
4,538.395,13451264
5,481.901,13451264
6,465.257,13451264
7,424.047,13451264
8,545.019,13451264
9,474.161,13451264
10,497.244,13451264
11,469.41,13451264
12,512.035,13451264
13,448.222,13451264
14,528.823,13451264
15,434.099,13451264
16,537.856,13451264
17,406.939,13451264
18,466.409,13451264
19,402.201,13451264
20,545.163,13451264
21,449.225,13451264
22,463.528,13451264
23,397.715,13451264
24,520.635,13451264
25,415.202,13451264
26,474.303,13451264
27,396.361,13451264
28,515.208,13451264
29,431.303,13451264
30,512.732,13451264
31,422.869,13451264
32,529.174,13451264
33,408.174,13451264
34,476.116,13451264
35,397.281,13451264
36,490.065,13451264
37,398.78,13451264
38,442.273,13451264
39,428.465,13451264
40,507.251,13451264
41,426.901,13451264
42,477.059,13451264
43,431.109,13451264
44,488.261,13451264
45,413.4,13451264
46,453.454,13451264
47,405.647,13451264
48,509.529,13451264
49,409.793,13451264
50,493.065,13451264
51,414.626,13451264
52,523.014,13451264
53,421.246,13451264
54,432.178,13451264
55,424.271,13451264
56,482.546,13451264
57,444.707,13451264
58,425.767,13451264
59,442.51,13451264
60,513.697,13451264
61,443.86,13451264
62,464.008,13451264
63,438.915,13451264
64,515.448,13451264
65,432.559,13451264
66,453.376,13451264
67,474.391,13451264
68,516.561,13451264
69,468.006,13451264
70,445.481,13451264
71,431.896,13451264
72,514.832,13451264
73,444.041,13451264
74,449.256,13451264
75,406.064,13451264
76,503.409,13451264
77,435.9,13451264
78,496.057,13451264
79,422.652,13451264
80,489.061,13451264
81,417.939,13451264
82,475.58,13451264
83,434.072,13451264
84,503.249,13451264
85,416.01,13451264
86,474.142,13451264
87,419.318,13451264
88,473.553,13451264
89,440.626,13451264
90,469.498,13451264
91,412.358,13451264
92,493.993,13451264
93,421.865,13451264
94,534.122,13451264
95,437.228,13451264
96,470.406,13451264
97,426.776,13451264
98,453.339,13451264
99,433.191,13451264
100,502.358,13451264
101,413.652,13451264
102,435.534,13451264
103,413.673,13451264
104,471.909,13451264
105,447.667,13451264
106,437.615,13451264
107,407.212,13451264
108,490.472,13451264
109,412.761,13451264
110,530.603,13451264
111,408.506,13451264
112,489.155,13451264
113,409.015,13451264
114,431.369,13451264
115,402.696,13451264
116,441.646,13451264
117,409.731,13451264
118,425.192,13451264
119,422.405,13451264
120,492.478,13451264
121,424.008,13451264
122,468.18,13451264
123,397.074,13451264
124,494.859,13451264
125,360.714,13451264
126,509.763,13451264
127,409.344,13451264
128,376.688,13467648
129,361.059,13467648
130,387.37,13467648
131,368.601,13467648
132,411.35,13467648
133,394.651,13467648
134,412.441,13467648
135,374.226,13467648
136,461.119,13467648
137,357.499,13467648
138,418.618,13467648
139,358.788,13467648
140,448.002,13467648
141,390.14,13467648
142,432.67,13467648
143,355.81,13467648
144,490.323,13467648
145,390.337,13467648
146,436.362,13467648
147,361.34,13467648
148,461.194,13467648
149,361.971,13467648
150,420.923,13467648
151,381.471,13467648
