idx,pinned time (s),bytes transferred (B)
0,1527.665,10100736
1,1386.854,10100736
2,1587.637,10100736
3,1311.273,10100736
4,1332.964,10100736
5,1468.925,10100736
6,1319.503,10100736
7,1450.749,10100736
8,1622.929,10100736
9,1422.551,10100736
10,1362.595,10100736
11,1344.335,10100736
12,1479.022,10100736
13,1546.001,10100736
14,1480.903,10100736
15,1420.78,10100736
16,1329.69,10100736
17,1415.964,10100736
18,1266.331,10100736
19,1497.516,10100736
20,1270.355,10100736
21,384.824,10100736
22,395.39,10100736
23,481.341,10100736
24,470.817,10100736
25,426.612,10100736
26,402.562,10100736
27,430.798,10100736
28,464.652,10100736
29,456.069,10100736
30,403.416,10100736
31,476.943,10100736
32,456.886,10100736
33,465.692,10100736
34,409.176,10100736
35,369.103,10100736
36,457.617,10100736
37,452.294,10100736
38,410.872,10100736
39,377.218,10100736
40,444.944,10100736
41,453.879,10100736
42,395.379,10100736
43,448.195,10100736
44,446.678,10100736
45,361.22,10100736
46,436.981,10100736
47,376.8,10100736
48,448.149,10100736
49,447.807,10100736
50,402.176,10100736
51,460.338,10100736
52,434.944,10100736
53,361.691,10100736
54,367.505,10100736
55,352.588,10100736
56,431.108,10100736
57,361.837,10100736
58,386.786,10100736
59,478.33,10100736
60,425.145,10100736
61,386.817,10100736
62,396.827,10100736
63,368.228,10100736
64,473.521,10100736
65,350.623,10100736
66,395.361,10100736
67,368.971,10100736
68,447.339,10100736
69,359.203,10100736
70,423.819,10100736
71,491.512,10100736
72,440.824,10100736
73,382.954,10100736
74,466.275,10100736
75,333.199,10100736
76,459.602,10100736
77,549.12,10100736
78,498.238,10100736
79,420.361,10100736
80,455.138,10100736
81,401.248,10100736
82,415.828,10100736
83,478.823,10100736
84,447.036,10100736
85,417.268,10100736
86,468.525,10100736
87,431.385,10100736
88,446.389,10100736
89,370.291,10100736
90,471.296,10100736
91,427.304,10100736
92,458.612,10100736
93,384.901,10100736
94,457.912,10100736
95,309.628,10100736
96,482.826,10100736
97,496.889,10100736
98,462.51,10100736
99,316.273,10100736
100,459.488,10100736
101,496.743,10100736
102,461.907,10100736
103,448.825,10100736
104,465.554,10100736
105,377.757,10100736
106,484.887,10100736
107,322.282,10100736
108,459.14,10100736
109,410.438,10100736
110,462.783,10100736
111,339.097,10100736
112,500.261,10100736
113,521.417,10100736
114,371.211,10100736
115,299.753,10100736
116,444.636,10100736
117,367.098,10100736
118,452.707,10100736
119,325.344,10100736
120,445.567,10100736
121,395.95,10100736
122,455.44,10100736
123,377.631,10100736
124,489.398,10100736
125,515.119,10100736
126,479.651,10100736
127,455.146,10100736
128,459.164,10100736
129,453.41,10100736
130,433.242,10100736
131,381.89,10100736
132,472.013,10100736
133,495.628,10100736
134,474.646,10100736
135,460.31,10100736
136,465.589,10100736
137,417.227,10100736
138,395.62,10100736
139,373.457,10100736
140,482.2,10100736
141,394.484,10100736
142,435.372,10100736
143,368.217,10100736
144,454.975,10100736
145,500.368,10100736
146,429.345,10100736
147,385.688,10100736
148,457.059,10100736
149,407.803,10100736
150,481.643,10100736
151,391.85,10100736
152,453.866,10100736
153,423.152,10100736
154,427.924,10100736
155,431.734,10100736
156,469.527,10100736
157,426.278,10100736
158,432.696,10100736
159,456.995,10100736
160,459.608,10100736
161,386.575,10100736
162,395.621,10100736
163,379.795,10100736
164,509.919,10100736
165,386.726,10100736
166,396.614,10100736
167,388.289,10100736
168,487.418,10100736
169,404.636,10100736
170,439.679,10100736
171,390.794,10100736
172,492.049,10100736
173,382.711,10100736
174,404.329,10100736
175,410.134,10100736
176,456.787,10100736
177,371.005,10100736
178,411.404,10100736
179,390.922,10100736
180,490.146,10100736
181,383.913,10100736
182,409.882,10100736
183,394.83,10100736
184,460.093,10100736
185,510.432,10100736
186,443.948,10100736
187,411.824,10100736
188,500.511,10100736
189,456.004,10100736
190,491.291,10100736
191,429.312,10100736
192,489.444,10100736
193,385.049,10100736
194,467.298,10100736
195,380.376,10100736
196,470.614,10100736
197,399.028,10100736
198,481.258,10100736
199,382.877,10100736
200,480.701,10100736
201,379.39,10100736
202,468.495,10100736
203,386.882,10100736
204,458.534,10100736
205,432.845,10100736
206,420.295,10100736
207,499.144,10100736
208,457.971,10100736
209,401.035,10100736
210,466.69,10100736
211,373.957,10100736
212,464.079,10100736
213,409.888,10100736
214,470.545,10100736
215,356.679,10100736
216,472.503,10100736
217,403.035,10100736
218,493.795,10100736
219,1980.88,10100736
220,1750.836,10100736
221,1625.511,10100736
222,1515.465,10100736
223,1471.482,10100736
224,1762.26,10100736
225,1420.801,10100736
226,1417.017,10100736
227,1295.847,10100736
228,1529.765,10100736
229,1574.302,10100736
230,1584.313,10100736
231,1738.755,10100736
232,1414.561,10100736
233,1424.331,10100736
234,1582.949,10100736
235,1418.009,10100736
236,1556.394,10100736
237,1728.728,10100736
238,1638.29,10100736
239,1465.686,10100736
240,1850.763,10100736
241,1668.385,10100736
242,1430.513,10100736
243,1294.137,10100736
244,1748.729,10100736
245,1716.101,10100736
246,464.515,10100736
247,395.64,10100736
248,452.055,10100736
249,393.214,10100736
250,455.609,10100736
251,492.898,10100736
252,465.084,10100736
253,416.727,10100736
254,454.365,10100736
255,326.664,10100736
256,369.085,10125312
257,335.514,10125312
258,344.287,10125312
259,396.167,10125312
260,417.728,10125312
261,307.381,10125312
262,359.439,10125312
263,387.618,10125312
264,380.26,10125312
265,417.024,10125312
266,401.533,10125312
267,407.432,10125312
268,389.591,10125312
269,402.273,10125312
270,377.868,10125312
271,349.849,10125312
272,401.478,10125312
273,328.473,10125312
274,413.526,10125312
275,265.802,10125312
276,367.176,10125312
277,441.125,10125312
278,370.946,10125312
279,398.133,10125312
280,422.347,10125312
281,385.949,10125312
282,428.708,10125312
283,386.288,10125312
284,456.252,10125312
285,427.494,10125312
286,386.626,10125312
287,420.897,10125312
288,461.123,10125312
289,375.27,10125312
290,403.8,10125312
291,433.717,10125312
292,489.086,10125312
293,406.226,10125312
294,406.563,10125312
295,412.662,10125312
296,1321.121,10125312
297,652.626,10125312
298,429.431,10125312
299,468.167,10125312
300,494.792,10125312
301,516.489,10125312
302,478.992,10125312
303,450.734,10125312
304,498.044,10125312
305,374.364,10125312
306,410.384,10125312
307,395.97,10125312
308,486.785,10125312
309,518.895,10125312
310,458.294,10125312
311,394.856,10125312
312,496.908,10125312
313,426.221,10125312
314,422.221,10125312
