idx,pinned time (s),bytes transferred (B)
0,542.518,3375104
1,313.211,3375104
2,304.137,3375104
3,232.225,3375104
4,325.328,3375104
5,266.152,3375104
6,281.218,3375104
7,226.902,3375104
8,326.557,3375104
9,163.707,3375104
10,295.412,3375104
11,165.435,3375104
12,294.642,3375104
13,221.825,3375104
14,335.938,3375104
15,224.069,3375104
16,309.863,3375104
17,228.567,3375104
18,308.367,3375104
19,222.366,3375104
20,281.762,3375104
21,211.911,3375104
22,282.145,3375104
23,214.853,3375104
24,318.674,3375104
25,171.076,3375104
26,288.266,3375104
27,209.158,3375104
28,294.507,3375104
29,246.391,3375104
30,320.831,3375104
31,217.197,3375104
32,309.122,3375104
33,223.443,3375104
34,366.579,3375104
35,205.638,3375104
36,282.772,3375104
37,167.604,3375104
38,268.244,3375104
39,215.049,3375104
40,323.814,3375104
41,266.272,3375104
42,294.112,3375104
43,194.736,3375104
44,273.915,3375104
45,161.662,3375104
46,282.096,3375104
47,208.002,3375104
48,278.834,3375104
49,195.53,3375104
50,287.584,3375104
51,164.721,3375104
52,281.233,3375104
53,143.862,3375104
54,296.08,3375104
55,205.694,3375104
56,347.215,3375104
57,189.35,3375104
58,298.337,3375104
59,149.576,3375104
60,252.359,3375104
61,157.346,3375104
62,284.312,3375104
63,250.541,3375104
64,313.031,3391488
65,200.454,3391488
66,278.844,3391488
67,214.126,3391488
68,347.997,3391488
69,152.789,3391488
70,277.569,3391488
71,224.254,3391488
72,321.895,3391488
73,205.383,3391488
74,278.336,3391488
75,156.944,3391488
76,265.006,3391488
77,312.378,3391488
78,310.237,3391488
79,192.407,3391488
80,308.73,3391488
81,192.136,3391488
82,269.167,3391488
83,202.745,3391488
84,271.708,3391488
85,157.717,3391488
86,329.455,3391488
87,266.54,3391488
88,345.66,3391488
89,151.462,3391488
90,294.611,3391488
91,186.559,3391488
92,267.723,3391488
93,207.379,3391488
94,268.94,3391488
95,219.842,3391488
96,281.465,3391488
97,207.643,3391488
98,372.378,3391488
99,194.554,3391488
100,281.322,3391488
101,202.373,3391488
102,304.368,3391488
103,206.459,3391488
104,284.372,3391488
105,152.407,3391488
106,256.932,3391488
107,203.487,3391488
108,329.355,3391488
109,332.404,3391488
110,358.206,3391488
111,232.509,3391488
112,310.68,3391488
113,192.433,3391488
114,280.35,3391488
115,154.652,3391488
116,286.841,3391488
117,194.082,3391488
118,306.153,3391488
119,201.445,3391488
120,899.088,3391488
121,858.365,3391488
122,1160.248,3391488
123,765.774,3391488
124,305.971,3391488
125,204.255,3391488
126,287.301,3391488
127,163.925,3391488
128,312.972,3407872
129,241.111,3407872
130,329.782,3407872
131,163.802,3407872
132,282.62,3407872
133,197.834,3407872
134,288.406,3407872
135,162.801,3407872
136,299.333,3407872
137,146.593,3407872
138,274.609,3407872
139,200.144,3407872
140,294.766,3407872
141,287.056,3407872
142,317.457,3407872
143,167.601,3407872
144,286.123,3407872
145,149.048,3407872
146,275.778,3407872
147,191.644,3407872
148,289.876,3407872
149,198.267,3407872
150,285.128,3407872
151,206.643,3407872
152,268.691,3407872
153,204.648,3407872
154,292.336,3407872
155,183.859,3407872
156,288.343,3407872
157,230.712,3407872
158,280.743,3407872
