idx,pinned time (s),bytes transferred (B)
0,1283.975,16785408
1,1222.592,16785408
2,931.417,16785408
3,981.128,16785408
4,763.773,16785408
5,703.045,16785408
6,591.744,16785408
7,545.549,16785408
8,572.146,16785408
9,657.268,16785408
10,550.708,16785408
11,530.093,16785408
12,590.932,16785408
13,524.013,16785408
14,577.154,16785408
15,526.349,16785408
16,588.447,16785408
17,539.315,16785408
18,498.04,16785408
19,555.399,16785408
20,565.874,16785408
21,516.887,16785408
22,562.972,16785408
23,515.006,16785408
24,573.512,16785408
25,535.006,16785408
26,561.362,16785408
27,488.07,16785408
28,532.027,16785408
29,523.569,16785408
30,512.945,16785408
31,510.743,16785408
32,551.814,16785408
33,504.101,16785408
34,550.511,16785408
35,542.652,16785408
36,537.662,16785408
37,533.175,16785408
38,538.532,16785408
39,487.265,16785408
40,545.918,16785408
41,554.288,16785408
42,547.124,16785408
43,508.796,16785408
44,536.51,16785408
45,536.848,16785408
46,495.197,16785408
47,480.213,16785408
48,602.303,16785408
49,540.403,16785408
50,603.922,16785408
51,517.243,16785408
52,533.618,16785408
53,504.102,16785408
54,503.628,16785408
55,491.206,16785408
56,539.569,16785408
57,511.454,16785408
58,538.583,16785408
59,484.848,16785408
60,499.743,16785408
61,536.362,16785408
62,564.64,16785408
63,529.218,16785408
64,567.142,16785408
65,537.661,16785408
66,501.595,16785408
67,518.676,16785408
68,511.192,16785408
69,555.023,16785408
70,523.404,16785408
71,481.985,16785408
72,516.265,16785408
73,501.067,16785408
74,457.716,16785408
75,468.447,16785408
76,554.044,16785408
77,514.849,16785408
78,513.528,16785408
79,486.232,16785408
80,547.059,16785408
81,497.348,16785408
82,513.266,16785408
83,468.934,16785408
84,533.019,16785408
85,536.324,16785408
86,471.752,16785408
87,468.08,16785408
88,484.144,16785408
89,473.514,16785408
90,497.291,16785408
91,479.6,16785408
92,499.132,16785408
93,500.065,16785408
94,573.125,16785408
95,373.521,16785408
96,521.191,16785408
97,566.419,16785408
98,487.405,16785408
99,379.889,16785408
100,533.274,16785408
101,528.27,16785408
102,512.845,16785408
103,367.084,16785408
