idx,og Index,data (B),bandwidth (GB/s)
0,0,8192,2.8764044943820224
1,1,8192,2.752688172043011
2,2,8192,2.437369830407617
3,3,8192,2.5098039215686274
4,8,8192,2.5346534653465347
5,9,8192,2.8444444444444446
6,10,8192,2.4380952380952383
7,11,8192,2.4854368932038833
8,16,8192,2.4607990387503755
9,17,8192,2.694736842105263
10,18,8192,2.4380952380952383
11,19,8192,2.4380952380952383
12,24,8192,2.438821077701697
13,25,8192,2.3063063063063063
14,26,8192,2.3932223196026876
15,27,8192,2.5098039215686274
16,32,8192,2.4615384615384617
17,33,8192,2.4615384615384617
18,34,8192,2.5098039215686274
19,35,8192,2.4150943396226414
20,40,8192,2.4615384615384617
21,41,8192,2.6122448979591835
22,42,8192,2.4854368932038833
23,43,8192,2.4380952380952383
24,48,8192,2.4854368932038833
25,49,8192,2.4615384615384617
26,50,8192,2.5098039215686274
27,51,8192,2.4615384615384617
28,56,8192,2.752688172043011
29,57,8192,2.4615384615384617
30,58,8192,2.4158065467413743
31,59,8192,2.5098039215686274
32,64,8192,2.462278328824767
33,65,8192,2.4380952380952383
34,66,8192,2.5098039215686274
35,67,8192,2.3703703703703702
36,72,8192,2.6666666666666665
37,73,8192,2.782608695652174
38,74,8192,2.4615384615384617
39,75,8192,2.5346534653465347
40,80,8192,2.4150943396226414
41,81,8192,2.56
42,82,8192,2.5346534653465347
43,83,8192,2.4150943396226414
44,89,8192,2.4615384615384617
45,90,8192,2.5098039215686274
46,91,8192,2.1512605042016806
47,96,8192,2.4854368932038833
48,97,8192,2.6391752577319587
49,98,8192,2.4854368932038833
50,99,8192,2.5098039215686274
51,104,8192,2.723404255319149
52,105,8192,2.4854368932038833
53,106,8192,2.4380952380952383
54,107,8192,2.5098039215686274
55,112,8192,2.392523364485981
56,113,8192,2.4158065467413743
57,114,8192,2.4150943396226414
58,115,8192,2.4380952380952383
59,120,8192,2.510573092246399
60,121,8192,2.4150943396226414
61,122,8192,2.5098039215686274
62,123,8192,2.4854368932038833
63,128,8192,2.3279340721795965
64,129,8192,2.6391752577319587
65,130,8192,2.462278328824767
66,131,8192,2.3703703703703702
67,136,8192,2.8131868131868134
68,137,8192,2.752688172043011
69,138,8192,2.4380952380952383
70,139,8192,2.5346534653465347
71,145,8192,2.5098039215686274
72,146,8192,2.115702479338843
73,147,8192,2.4150943396226414
74,152,8192,2.510573092246399
75,153,8192,2.585858585858586
76,154,8192,2.462278328824767
77,155,8192,2.5098039215686274
78,160,8192,2.56
79,161,8192,2.4380952380952383
80,162,8192,2.585858585858586
81,163,8192,2.5346534653465347
82,168,8192,2.3932223196026876
83,169,8192,2.8131868131868134
84,170,8192,2.4380952380952383
85,171,8192,2.4380952380952383
86,176,8192,2.4615384615384617
87,177,8192,2.4150943396226414
88,178,8192,2.510573092246399
89,179,8192,2.4380952380952383
90,184,8192,2.3918248175182484
91,185,8192,2.4380952380952383
92,186,8192,2.4615384615384617
93,187,8192,2.535437944908697
94,192,8192,2.5346534653465347
95,193,8192,2.6400257815017727
96,194,8192,2.4854368932038833
97,195,8192,2.5098039215686274
98,200,8192,2.4150943396226414
99,201,8192,2.5098039215686274
100,202,8192,2.4615384615384617
101,203,8192,2.4380952380952383
102,208,8192,2.8131868131868134
103,209,8192,2.462278328824767
104,210,8192,2.5346534653465347
105,211,8192,2.4615384615384617
106,216,8192,2.5098039215686274
107,217,8192,2.4854368932038833
108,218,8192,2.4854368932038833
109,219,8192,2.5098039215686274
110,224,8192,2.4150943396226414
111,225,8192,2.3932223196026876
112,226,8192,2.510573092246399
113,227,8192,2.5098039215686274
114,232,8192,2.3056571911061075
115,233,8192,2.5098039215686274
116,234,8192,2.4854368932038833
117,235,8192,1.6516129032258065
118,240,8192,2.392523364485981
119,241,8192,2.4380952380952383
120,242,8192,2.5346534653465347
121,243,8192,2.4615384615384617
122,248,8192,2.6666666666666665
123,249,8192,2.535437944908697
124,250,8192,2.4854368932038833
125,251,8192,2.4615384615384617
