idx,og Index,data (B),bandwidth (GB/s)
0,0,8192,2.4380952380952383
1,1,8192,2.4380952380952383
2,4,8192,2.4615384615384617
3,5,8192,2.3703703703703702
4,6,8192,2.4854368932038833
5,7,8192,2.4380952380952383
6,8,8192,2.4854368932038833
7,9,8192,2.4615384615384617
8,10,8192,2.5098039215686274
9,11,8192,2.4615384615384617
10,12,8192,2.4615384615384617
11,13,8192,2.3932223196026876
12,14,8192,2.4854368932038833
13,15,8192,2.4854368932038833
14,16,8192,2.4380952380952383
15,17,8192,2.4615384615384617
16,18,8192,2.510573092246399
17,19,8192,2.4854368932038833
18,20,8192,2.4854368932038833
19,21,8192,2.4607990387503755
20,22,8192,2.5098039215686274
21,23,8192,2.4615384615384617
22,24,8192,2.4854368932038833
23,25,8192,2.4615384615384617
24,26,8192,2.4854368932038833
25,27,8192,2.4615384615384617
26,28,8192,2.4380952380952383
27,29,8192,2.4854368932038833
28,30,8192,2.4158065467413743
29,31,8192,2.392523364485981
30,32,8192,2.4854368932038833
31,33,8192,2.4854368932038833
32,34,8192,2.4854368932038833
33,35,8192,2.4615384615384617
34,36,8192,2.4615384615384617
35,37,8192,2.4380952380952383
36,38,8192,2.462278328824767
37,39,8192,2.4615384615384617
38,40,8192,2.392523364485981
39,41,8192,2.4854368932038833
40,42,8192,2.4615384615384617
41,43,8192,2.4854368932038833
42,44,8192,2.4854368932038833
43,45,8192,2.4615384615384617
44,46,8192,2.4150943396226414
45,47,8192,2.4615384615384617
46,48,8192,2.4854368932038833
47,49,8192,2.4615384615384617
48,50,8192,2.4615384615384617
49,51,8192,2.4607990387503755
50,52,8192,2.4615384615384617
51,53,8192,2.4854368932038833
52,54,8192,2.4380952380952383
53,55,8192,2.4854368932038833
54,56,8192,2.4615384615384617
55,57,8192,2.4854368932038833
56,58,8192,2.4854368932038833
57,59,8192,2.4854368932038833
58,60,8192,2.4615384615384617
59,61,8192,2.4615384615384617
60,62,8192,2.4615384615384617
61,63,8192,2.4380952380952383
62,64,8192,2.4380952380952383
63,65,8192,2.4607990387503755
64,68,8192,2.4150943396226414
65,69,8192,2.4615384615384617
66,70,8192,2.4854368932038833
67,71,8192,2.4615384615384617
68,72,8192,2.4607990387503755
69,73,8192,2.4380952380952383
70,74,8192,2.4615384615384617
71,75,8192,2.392523364485981
72,76,8192,2.4380952380952383
73,77,8192,2.4854368932038833
74,78,8192,2.4854368932038833
75,79,8192,2.392523364485981
76,80,8192,2.4615384615384617
77,81,8192,2.4615384615384617
78,82,8192,2.4854368932038833
79,83,8192,2.3703703703703702
80,84,8192,2.4380952380952383
81,85,8192,2.4854368932038833
82,86,8192,2.392523364485981
83,87,8192,2.4380952380952383
84,88,8192,2.462278328824767
85,89,8192,2.4150943396226414
86,90,8192,2.4615384615384617
87,91,8192,2.4854368932038833
88,92,8192,2.3703703703703702
89,93,8192,2.4615384615384617
90,94,8192,2.4861911987860394
91,95,8192,2.4380952380952383
92,96,8192,2.4380952380952383
93,97,8192,2.4615384615384617
94,98,8192,2.4615384615384617
95,99,8192,2.3703703703703702
96,100,8192,2.4615384615384617
97,101,8192,2.4380952380952383
98,102,8192,2.4615384615384617
99,103,8192,2.4615384615384617
100,104,8192,2.4615384615384617
101,105,8192,2.4150943396226414
102,106,8192,2.4615384615384617
103,107,8192,2.4380952380952383
104,108,8192,2.392523364485981
105,109,8192,2.4854368932038833
106,110,8192,2.4615384615384617
107,111,8192,2.4854368932038833
108,112,8192,2.4380952380952383
109,113,8192,2.4615384615384617
110,114,8192,2.4854368932038833
111,115,8192,2.4854368932038833
112,116,8192,2.4380952380952383
113,117,8192,2.4615384615384617
114,118,8192,2.4854368932038833
115,119,8192,2.4615384615384617
116,120,8192,2.4150943396226414
117,121,8192,2.3703703703703702
118,122,8192,2.5098039215686274
119,123,8192,2.4615384615384617
120,124,8192,2.4380952380952383
121,125,8192,2.3703703703703702
122,126,8192,2.4380952380952383
123,127,8192,2.4854368932038833
124,128,8192,2.3703703703703702
125,129,8192,2.4615384615384617
126,132,8192,2.4854368932038833
127,133,8192,2.4615384615384617
128,134,8192,2.4150943396226414
129,135,8192,2.4854368932038833
130,136,8192,2.4854368932038833
131,137,8192,2.4615384615384617
132,138,8192,2.4615384615384617
133,139,8192,2.4380952380952383
134,140,8192,2.4380952380952383
135,141,8192,2.5098039215686274
136,142,8192,2.3932223196026876
137,143,8192,2.3486238532110093
138,144,8192,2.4854368932038833
139,145,8192,2.4615384615384617
140,146,8192,2.4380952380952383
141,147,8192,2.4615384615384617
142,148,8192,2.4380952380952383
143,149,8192,2.4380952380952383
144,150,8192,2.4615384615384617
145,151,8192,2.4615384615384617
146,152,8192,2.4150943396226414
147,153,8192,2.4854368932038833
148,154,8192,2.4380952380952383
149,155,8192,2.4854368932038833
150,156,8192,2.462278328824767
151,157,8192,2.4854368932038833
152,158,8192,2.4615384615384617
153,159,8192,2.4150943396226414
154,160,8192,2.4380952380952383
155,161,8192,2.4854368932038833
156,162,8192,2.5098039215686274
157,163,8192,2.4607990387503755
158,164,8192,2.4380952380952383
159,165,8192,2.3932223196026876
160,166,8192,2.4615384615384617
161,167,8192,2.4380952380952383
