idx,og Index,data (B),bandwidth (GB/s)
0,4,67223552,23.540485429447585
1,6,67223552,22.787946010133695
2,12,67223552,23.51045166570198
3,14,67223552,22.99246473928258
4,20,67223552,23.499931657335825
5,22,67223552,23.557115979199907
6,28,67223552,23.432311317466294
7,30,67223552,23.10475158720775
8,36,67223552,23.494412420834617
9,38,67223552,22.827069803609962
10,44,67223552,23.322521072251934
11,46,67223552,23.168200103117513
12,52,67223552,22.939496436069003
13,54,67223552,23.28116600547539
14,60,67223552,23.22762317124958
15,62,67223552,22.73173238975591
16,68,67223552,23.14726696251732
17,70,67223552,22.95151858848449
18,76,67223552,23.063903398846865
19,78,67223552,23.37650281376046
20,84,67223552,23.175604362795916
21,86,67223552,23.464496030409386
22,92,67223552,23.25487861366458
23,94,67223552,23.041396916276607
24,100,67223552,23.323815785593222
25,102,67223552,22.779552213315405
26,108,67223552,23.36636221092085
27,110,67223552,23.47209911252779
28,116,67223552,23.200952010182753
29,118,67223552,23.30156672398739
30,124,67223552,23.4197640240289
31,126,67223552,23.528085561826735
32,132,67223552,23.195060079001195
33,134,67223552,23.400719807373726
34,140,67223552,23.437008784055866
35,142,67223552,22.77584762875365
36,148,67223552,23.27807028691597
37,150,67223552,23.385350523429164
38,156,67223552,23.524932065811736
39,158,67223552,23.02296283916149
40,164,67223552,23.35259548542659
41,166,67223552,23.37598256873939
42,172,67223552,23.474722007558867
43,174,67223552,22.846441418049434
44,180,67223552,23.068976782620872
45,182,67223552,22.742560510553993
46,188,67223552,22.963569037371045
47,190,67223552,22.574904963395795
48,196,67223552,22.98769221510036
49,198,67223552,22.710344890493072
50,204,67223552,23.01412716122629
51,206,67223552,22.906720869332617
52,212,67223552,23.186099836374524
53,214,67223552,23.06567605931978
54,220,67223552,23.22762317124958
55,222,67223552,23.272139126942776
56,228,67223552,23.00002463424982
57,230,67223552,22.97662947032815
58,236,67223552,23.11670119201873
59,238,67223552,23.054791161448062
60,244,67223552,23.26698405281693
61,246,67223552,22.730748526400358
62,252,67223552,23.340141498641227
63,254,67223552,22.99347925428719
