idx,og Index,data (B),bandwidth (GB/s)
0,62,131072,9.965936739659368
1,63,131072,10.291457286432161
2,126,131072,10.291457286432161
3,127,131072,10.316568280204644
4,190,131072,10.317380352644836
5,191,131072,10.343434343434344
6,254,131072,10.395939086294415
7,255,131072,10.395939086294415
8,318,131072,10.343434343434344
9,319,131072,10.317380352644836
10,382,131072,10.395114600682053
11,383,131072,10.343434343434344
12,446,131072,10.448979591836734
13,447,131072,10.448979591836734
14,510,131072,10.369620253164557
15,511,131072,10.316568280204644
16,574,131072,10.395939086294415
17,575,131072,10.213667887477596
18,638,131072,9.846153846153847
19,639,131072,10.291457286432161
20,702,131072,10.395939086294415
21,703,131072,10.368799936713868
22,766,131072,10.369620253164557
23,767,131072,10.343434343434344
24,830,131072,10.395939086294415
25,831,131072,10.291457286432161
26,894,131072,10.24
27,895,131072,10.343434343434344
