idx,og Index,data (B),bandwidth (GB/s)
0,62,16384,4.3760683760683765
1,63,16384,4.612612612612613
2,126,16384,4.266666666666667
3,127,16384,4.571428571428571
4,190,16384,4.530973451327434
5,191,16384,4.571428571428571
6,254,16384,3.9384615384615387
7,255,16384,4.612612612612613
8,318,16384,4.491228070175438
9,319,16384,4.301391441323182
10,382,16384,4.571428571428571
11,383,16384,4.612612612612613
12,446,16384,4.530973451327434
13,447,16384,4.491228070175438
14,510,16384,4.530973451327434
15,511,16384,4.612612612612613
16,574,16384,4.530973451327434
17,575,16384,4.53222683264177
18,638,16384,4.571428571428571
19,639,16384,4.413793103448276
20,702,16384,4.530973451327434
21,703,16384,4.53222683264177
22,766,16384,4.571428571428571
23,767,16384,4.611314382212215
24,830,16384,4.529720763063312
25,831,16384,4.302521008403361
26,894,16384,4.613911574204449
27,895,16384,4.612612612612613
