idx,og Index,data (B),bandwidth (GB/s)
0,62,32768,6.059171597633136
1,63,32768,6.87248322147651
2,126,32768,6.781456953642384
3,127,32768,6.64935064935065
4,190,32768,6.826666666666667
5,191,32768,6.781456953642384
6,254,32768,6.826666666666667
7,255,32768,6.058051395821779
8,318,32768,6.781456953642384
9,319,32768,6.69281045751634
10,382,32768,6.781456953642384
11,383,32768,6.648001623047271
12,446,32768,6.7368421052631575
13,447,32768,6.564102564102564
14,510,32768,6.826666666666667
15,511,32768,6.871042147200671
16,574,32768,6.87248322147651
17,575,32768,6.606451612903226
18,638,32768,6.7368421052631575
19,639,32768,6.826666666666667
20,702,32768,6.87248322147651
21,703,32768,6.7368421052631575
22,766,32768,6.520995024875622
23,767,32768,6.69281045751634
24,830,32768,6.826666666666667
25,831,32768,6.64935064935065
26,894,32768,6.522292993630574
27,895,32768,6.826666666666667
