idx,og Index,data (B),bandwidth (GB/s)
0,62,16384,4
1,63,16384,4.530973451327434
2,126,16384,4.491228070175438
3,127,16384,4.489997259523157
4,190,16384,4.571428571428571
5,191,16384,4.612612612612613
6,254,16384,4.571428571428571
7,255,16384,4.491228070175438
8,318,16384,4.571428571428571
9,319,16384,4.612612612612613
10,382,16384,4.491228070175438
11,383,16384,4.452173913043478
12,446,16384,4.530973451327434
13,447,16384,4.3760683760683765
14,510,16384,4.491228070175438
15,511,16384,4.571428571428571
16,574,16384,4.530973451327434
17,575,16384,4.654545454545454
18,638,16384,4.491228070175438
19,639,16384,4.529720763063312
20,702,16384,4.612612612612613
21,703,16384,4.338983050847458
22,766,16384,4.489997259523157
23,767,16384,4.452173913043478
24,830,16384,4.491228070175438
25,831,16384,4.654545454545454
26,894,16384,4.530973451327434
27,895,16384,4.338983050847458
