idx,og Index,data (B),bandwidth (GB/s)
0,13,16793600,24.915913835234143
1,15,16793600,24.98590287789586
2,21,16793600,25.05867905355499
3,23,16793600,25.033577155906823
4,29,16793600,25.070650040083542
5,31,16793600,25.07903653825189
6,37,16793600,24.99899519330248
7,39,16793600,24.971635982971183
8,45,16793600,25.044328951391012
9,47,16793600,25.05628622796482
10,53,16793600,25.01206398379554
11,55,16793600,25.00137708852223
12,61,16793600,24.973975528073712
13,63,16793600,24.938409837794012
14,69,16793600,24.89932686890253
15,71,16793600,24.99542320131812
16,77,16793600,24.99780441587787
17,79,16793600,24.90523505857927
18,85,16793600,25.067057543357908
19,87,16793600,25.059875637740827
20,93,16793600,24.970410681892528
21,95,16793600,24.98709252169721
22,101,16793600,25.007296574481646
23,103,16793600,25.038317260956948
24,109,16793600,25.01206398379554
25,111,16793600,25.04552416546487
26,117,16793600,25.014485629808373
27,119,16793600,24.984713347367794
28,125,16793600,25.099427126380434
29,127,16793600,25.05867905355499
30,133,16793600,25.05150194745235
31,135,16793600,25.04074399352271
32,141,16793600,25.05385648217216
33,143,16793600,25.034734023839764
34,157,16793600,25.031189121592114
35,159,16793600,25.01687047792984
36,165,16793600,25.06821750786666
37,167,16793600,25.038317260956948
38,173,16793600,25.034771343940395
39,175,16793600,25.04193886543626
40,181,16793600,25.0778381235823
41,183,16793600,25.101828199199126
42,189,16793600,25.06945242676706
43,191,16793600,25.026414419516122
44,197,16793600,25.05867905355499
45,199,16793600,25.06103493765184
46,205,16793600,25.134250085309418
47,207,16793600,25.20672135207547
48,213,16793600,25.074243566677367
49,215,16793600,25.081433711241512
50,221,16793600,24.98114543526153
51,223,16793600,24.957385371479184
52,229,16793600,25.028764240534628
53,231,16793600,25.083831342541213
54,237,16793600,25.025221028600722
55,239,16793600,25.025221028600722
56,245,16793600,25.106631723255358
57,247,16793600,25.1451262002764
58,253,16793600,25.064663117471206
59,255,16793600,25.04193886543626
60,261,16809984,25.056804918949133
61,263,16809984,25.096308107115505
62,269,16809984,25.01147017293789
63,271,16809984,24.995998554661885
64,277,16809984,25.123876822641105
65,279,16809984,25.10226682196936
66,285,16809984,25.042433632273635
67,287,16809984,25.018617381481445
68,293,16809984,25.01980898005111
69,295,16809984,25.05796280506347
70,301,16809984,25.00670763545809
71,303,16809984,25.032924059775283
72,309,16809984,25.051987767584098
73,311,16809984,25.042433632273635
74,317,16809984,25.054414782864015
75,319,16809984,25.012661090767327
76,325,16809984,25.005517284466666
77,327,16809984,25.068762443050904
78,333,16809984,25.036503286323445
79,335,16809984,25.061586559462807
80,341,16809984,25.05676756956576
81,343,16809984,25.035310097088246
82,349,16809984,25.010279368508442
83,351,16809984,24.99715082768753
84,357,16809984,24.943774808395716
85,359,16809984,25.018617381481445
86,365,16809984,25.10226682196936
87,367,16809984,24.999567228971568
88,373,16809984,25.169658030715695
89,375,16809984,25.248291120133015
90,381,16809984,24.99005302772397
91,383,16809984,25.051987767584098
92,389,16809984,25.0460528962413
93,391,16809984,25.009051470194418
94,397,16809984,25.028153349323972
95,399,16809984,24.998377557651725
96,405,16809984,25.000757013529572
97,407,16809984,25.01381490056962
98,413,16809984,25.093910429134638
99,415,16809984,25.053219885807284
100,421,16809984,25.079533976758515
101,423,16809984,25.037696589299465
102,429,16809984,25.00194691134191
103,431,16809984,25.038890006032577
104,437,16809984,25.117870313368517
105,439,16809984,25.085522162878465
106,445,16809984,25.003099732863713
107,447,16809984,24.92247339104599
108,453,16809984,25.07474548587027
109,455,16809984,25.036503286323445
110,461,16809984,24.991241906829114
111,463,16809984,24.90120832450705
112,469,16809984,25.048441437105406
113,471,16809984,25.015043266690974
114,477,16809984,24.96511266984387
115,479,16809984,24.926021100393687
116,485,16809984,24.95562467061068
117,487,16809984,24.981734040134285
118,493,16809984,24.99596138633295
119,495,16809984,24.999567228971568
120,501,16809984,24.96511266984387
121,503,16809984,25.031693936993335
122,509,16809984,24.997187999553887
123,511,16809984,24.980546065448795
124,517,16826368,24.868893575700966
125,519,16826368,24.845392274264924
126,525,16826368,24.857137370129248
127,527,16826368,24.836004185984038
128,533,16826368,24.924297029028335
129,535,16826368,24.988220478427973
130,541,16826368,24.888904666604542
131,543,16826368,24.927841802184584
132,557,16826368,24.87006980789895
133,559,16826368,24.90776807535227
134,565,16826368,24.880660906750578
135,567,16826368,24.977574707678514
136,573,16826368,24.83365827236729
137,575,16826368,24.84304458687124
138,581,16826368,24.855962360865938
139,583,16826368,24.87595263826283
140,597,16826368,25.022742448058796
141,599,16826368,24.92193440695062
142,605,16826368,25.079993083999593
143,607,16826368,24.989445138332993
144,613,16826368,25.033464007557782
145,615,16826368,25.041809352448393
146,621,16826368,25.01203006848205
147,623,16826368,24.956236327096637
148,631,16826368,24.940847934709947
149,637,16826368,25.2014348298199
150,639,16826368,24.940847934709947
151,645,16826368,24.969272114001985
152,647,16826368,24.970457860862417
153,653,16826368,24.97516490432284
154,655,16826368,25.004893576233833
155,661,16826368,25.025124223094416
156,663,16826368,25.01203006848205
157,669,16826368,24.972792629135572
158,671,16826368,25.058516745770184
159,677,16826368,24.914849227443344
160,679,16826368,24.911308148185434
161,685,16826368,24.970420804568363
162,687,16826368,24.984695612405655
163,693,16826368,25.029889133671798
164,695,16826368,25.032235029485797
165,701,16826368,24.94199401144348
166,703,16826368,24.975201974698802
167,709,16826368,25.046543337044735
168,711,16826368,24.956236327096637
169,717,16826368,25.03942440047917
170,719,16826368,25.017980257846382
171,725,16826368,24.99063280197592
172,727,16826368,25.028660506571626
173,733,16826368,24.940847934709947
174,735,16826368,24.959753166997952
175,741,16826368,25.01440980455411
176,743,16826368,24.977574707678514
177,749,16826368,24.987070149672633
178,751,16826368,24.96215999703297
179,757,16826368,25.017980257846382
180,759,16826368,25.022705236421174
181,765,16826368,24.949131633223463
182,767,16826368,25.034655859121024
183,775,16842752,25.006647058561523
184,781,16842752,24.963948995305945
185,783,16842752,25.02091222273887
186,789,16842752,24.91903671998331
187,791,16842752,25.022101721102636
188,797,16842752,24.99595885541963
189,799,16842752,24.98646589771168
190,805,16842752,24.937890516266204
191,807,16842752,24.968686022637147
192,813,16842752,24.952114286899466
193,815,16842752,24.969833541875456
194,823,16842752,24.98761505183638
195,829,16842752,24.999520574479423
196,837,16842752,24.86840943486767
197,839,16842752,24.967501597273593
198,845,16842752,24.903709070477515
199,847,16842752,24.90842326161254
200,853,16842752,24.909602088278575
201,855,16842752,24.94734659296256
202,861,16842752,24.99358493981893
203,863,16842752,25.014966426904813
204,869,16842752,24.99477184125274
205,871,16842752,25.080526009348564
206,877,16842752,24.92257654967498
207,879,16842752,24.987652123084136
208,885,16842752,24.946164191218728
209,887,16842752,25.024481057156144
210,893,16842752,24.975794935368636
211,895,16842752,25.011400305611943
212,901,16842752,24.974609835482173
213,903,16842752,25.01017468623596
214,909,16842752,25.067349307932727
215,911,16842752,24.910744183019684
216,917,16842752,25.017344406105966
217,919,16842752,25.08172118269882
218,925,16842752,25.036384528139777
219,927,16842752,24.990024911755413
220,933,16842752,24.99354785096545
221,935,16842752,25.075746454758626
222,941,16842752,24.960397404187148
223,943,16842752,25.023291332569684
224,949,16842752,25.02924108701887
225,951,16842752,25.032775092594242
226,957,16842752,24.96276501930445
227,959,16842752,24.975794935368636
228,965,16842752,24.8872234445441
229,967,16842752,24.94974869161135
230,973,16842752,24.959213765039397
231,975,16842752,24.984093784812924
232,981,16842752,24.982907897254552
233,989,16842752,24.982907897254552
234,991,16842752,24.999520574479423
235,997,16842752,25.005459029073748
236,999,16842752,24.962728021864013
237,1005,16842752,24.950931433184945
238,1007,16842752,24.950931433184945
239,1013,16842752,25.02563371073668
240,1015,16842752,24.967501597273593
241,1021,16842752,24.96513308362398
242,1023,16842752,24.955663521048084
243,1029,16859136,25.05954697270807
244,1031,16859136,24.98230847767555
245,1037,16859136,24.992974627717533
246,1039,16859136,24.98586284933464
247,1045,16859136,25.07266537876388
248,1047,16859136,25.02502779464176
249,1055,16859136,25.14566289661262
250,1061,16859136,25.01786064070374
251,1063,16859136,24.991789050189226
252,1071,16859136,25.015484874203946
253,1077,16859136,25.100139204228235
254,1079,16859136,25.04763305565584
255,1085,16859136,25.086992040498373
256,1087,16859136,25.015521992085432
257,1093,16859136,25.054742811625044
258,1095,16859136,25.10492340819034
259,1101,16859136,25.02502779464176
260,1103,16859136,25.02621652794663
261,1109,16859136,25.00364988943549
262,1111,16859136,24.958638485350484
263,1117,16859136,25.011959177678577
264,1119,16859136,24.990566541163915
265,1125,16859136,25.032161888881795
266,1127,16859136,24.98819595543988
267,1133,16859136,25.017897765635876
268,1135,16859136,25.010771798390387
269,1141,16859136,25.05954697270807
270,1143,16859136,25.09057626452716
271,1149,16859136,24.972835095297135
272,1151,16859136,24.894952976251123
273,1157,16859136,25.03807289036742
274,1159,16859136,24.90672205717021
275,1165,16859136,24.96928442894275
276,1167,16859136,24.81989344270742
277,1173,16859136,25.052397262818467
278,1175,16859136,25.006023408379967
279,1183,16859136,24.971651427648855
280,1189,16859136,25.017897765635876
281,1191,16859136,25.004799506404286
282,1197,16859136,25.07147222887293
283,1199,16859136,25.034503649938525
284,1205,16859136,25.03811007531125
285,1207,16859136,24.936193500579066
286,1213,16859136,24.98467794640912
287,1215,16859136,25.001239745407307
288,1221,16859136,24.97993945832537
289,1223,16859136,24.94678338689916
290,1229,16859136,25.02859433339024
291,1231,16859136,24.98467794640912
292,1237,16859136,25.040490141472652
293,1239,16859136,25.088149334222226
294,1245,16859136,25.07501472451766
295,1247,16859136,24.965734772120463
296,1253,16859136,25.022650666785403
297,1255,16859136,25.020273990492996
298,1261,16859136,25.09057626452716
299,1263,16859136,25.023839174260043
300,1269,16859136,25.051206041127095
301,1271,16859136,25.03930005183371
302,1277,16859136,24.972835095297135
303,1279,16859136,24.9740188751635
304,1285,16875520,24.998289058715653
305,1287,16875520,24.932105504987007
306,1293,16875520,24.950979305001724
307,1295,16875520,25.012516989460234
308,1301,16875520,24.969881701894693
309,1303,16875520,24.94035927789724
310,1309,16875520,24.949798855375462
311,1317,16875520,24.980526891541224
312,1319,16875520,24.885008995192734
313,1325,16875520,25.08151426741198
314,1327,16875520,25.011293640583595
315,1333,16875520,25.092217563267614
316,1335,16875520,24.986444808680062
317,1341,16875520,25.0433626374931
318,1343,16875520,24.902672287979648
319,1349,16875520,24.998289058715653
320,1351,16875520,24.984077305385586
321,1357,16875520,25.07316681796773
322,1359,16875520,24.932105504987007
323,1365,16875520,25.085093447455222
324,1367,16875520,24.98526100094904
325,1373,16875520,25.042173430442034
326,1375,16875520,24.955702220730267
327,1381,16875520,25.08155154527322
328,1383,16875520,24.98404031670644
329,1389,16875520,25.026724010084532
330,1391,16875520,24.90972992042417
331,1397,16875520,25.089829974249337
332,1399,16875520,24.988775758006526
333,1405,16875520,25.111372013326847
334,1407,16875520,24.90969315155845
335,1413,16875520,25.02794886891988
336,1415,16875520,24.92150153511719
337,1421,16875520,25.01603941961612
338,1423,16875520,24.955702220730267
339,1429,16875520,25.043399802033388
340,1431,16875520,24.992328517182344
341,1437,16875520,25.06125152404841
342,1439,16875520,24.954484422966587
343,1445,16875520,25.016076503104863
344,1447,16875520,24.954484422966587
345,1453,16875520,25.065979050685932
346,1455,16875520,25.071974778741996
347,1461,16875520,25.069591040292835
