idx,FLOPS,Correlation,Num_of_Operations
0,274429118993891.53,6448391,494726545408
1,274833881031702.25,6448419,494726545408
2,274550803273566.53,6448839,494726545408
3,274834033709388.16,6448867,494726545408
4,275932803291160.12,6449725,494726545408
5,276174177122706.44,6449753,494726545408
6,275982060403747.84,6450173,494726545408
7,276065683817682.56,6450201,494726545408
8,275671880251039.06,6451059,494726545408
9,275913105368946.38,6451087,494726545408
10,276026252838086.1,6451507,494726545408
11,276080627405461.28,6451535,494726545408
12,275726115278208.16,6452393,494726545408
13,275957429649412.88,6452421,494726545408
14,275725961607763.38,6452841,494726545408
15,275908181327812.84,6452869,494726545408
16,274463222352656.62,6453727,494726545408
17,274682660779841.47,6453755,494726545408
18,274545927736197.0,6454175,494726545408
19,274799838143970.28,6454203,494726545408
20,274643623862235.88,6455061,494726545408
21,274677628054146.4,6455089,494726545408
22,274721556243263.53,6455509,494726545408
23,274589966213981.1,6455537,494726545408
24,274604445615750.9,6456395,494726545408
25,274682508270292.62,6456423,494726545408
26,274653382051390.22,6456843,494726545408
27,274912074203939.7,6456871,494726545408
28,274497181884712.94,6457729,494726545408
29,274726438020498.7,6457757,494726545408
30,274716674639519.62,6458177,494726545408
31,274887786795870.53,6458205,494726545408
32,271670591360053.75,6459063,494726545408
33,271823440949567.3,6459091,494726545408
34,271770879507092.2,6459511,494726545408
35,271919059314967.84,6459539,494726545408
36,271603773705312.28,6460397,494726545408
37,271727889807537.78,6460425,494726545408
38,271732665769178.6,6460845,494726545408
39,271809253329992.9,6460873,494726545408
40,274316972643520.75,6461731,494726545408
41,274619078983580.9,6461759,494726545408
42,274555831352848.88,6462179,494726545408
43,274765498485177.53,6462207,494726545408
44,274433838149859.34,6463065,494726545408
45,274706911952468.88,6463093,494726545408
46,274604598038627.97,6463513,494726545408
47,274736354664658.6,6463541,494726545408
48,272600039126227.9,6464399,494726545408
49,272724917301033.7,6464427,494726545408
50,274775265336907.9,6464847,494726545408
51,274873124778035.34,6464875,494726545408
52,274224524682485.88,6465733,494726545408
53,274458197664761.78,6465761,494726545408
54,276470656345351.28,6466181,494726545408
55,276515159957700.53,6466209,494726545408
56,275794976869474.1,6467579,494726545408
57,275932649390242.22,6467607,494726545408
58,275952504026113.38,6468030,494726545408
59,276386478631896.1,6468058,494726545408
60,275863719041158.75,6468919,494726545408
61,275982060403747.84,6468947,494726545408
62,275883563758194.7,6469370,494726545408
63,276011469124582.3,6469398,494726545408
64,274497181884712.94,6470259,494726545408
65,274609475660037.6,6470287,494726545408
66,274687388659856.2,6470710,494726545408
67,274794953757829.03,6470738,494726545408
68,274609323231745.75,6471599,494726545408
69,274731472534990.72,6471627,494726545408
70,274619231422703.3,6472050,494726545408
71,274912074203939.7,6472078,494726545408
72,274550803273566.53,6472939,494726545408
73,274682660779841.47,6472967,494726545408
74,274672748011408.28,6473390,494726545408
75,274736354664658.6,6473418,494726545408
76,271570377201827.94,6474279,494726545408
77,271928624851524.6,6474307,494726545408
78,271828369627185.97,6474730,494726545408
79,271990817247042.03,6474758,494726545408
80,271441639013513.22,6475619,494726545408
81,271809103994505.88,6475647,494726545408
82,271694462776231.22,6476070,494726545408
83,271890366742673.22,6476098,494726545408
84,274336443315438.94,6476959,494726545408
85,274736354664658.6,6476987,494726545408
86,274643471396032.2,6477410,494726545408
87,274853577853779.28,6477438,494726545408
88,274550955636899.62,6478299,494726545408
89,274711945751327.66,6478327,494726545408
90,274658108923550.12,6478750,494726545408
91,274604598038627.97,6478778,494726545408
92,274570459539798.66,6479639,494726545408
93,274702030869143.44,6479667,494726545408
94,274731472534990.72,6480090,494726545408
95,274853425154378.0,6480118,494726545408
96,274746119444561.72,6480979,494726545408
97,274726590578832.9,6481007,494726545408
98,274799838143970.28,6481430,494726545408
99,274819224763622.03,6481458,494726545408
100,274550803273566.53,6482319,494726545408
101,274707064489117.8,6482347,494726545408
102,274687541174824.53,6482770,494726545408
103,274697302485080.4,6482798,494726545408
104,274521704977415.72,6483659,494726545408
105,274828995435316.97,6483687,494726545408
106,274692421743234.4,6484110,494726545408
107,274726438020498.7,6484138,494726545408
108,274419224516353.03,6484999,494726545408
109,274745966864537.53,6485027,494726545408
110,274672748011408.28,6485450,494726545408
111,274853577853779.28,6485478,494726545408
112,274472815449543.72,6486339,494726545408
113,274677780558276.1,6486367,494726545408
114,274668020635361.25,6486790,494726545408
115,274682660779841.47,6486818,494726545408
116,274677780558276.1,6487679,494726545408
117,274672900510119.12,6487707,494726545408
118,274653382051390.22,6488130,494726545408
119,274858464324207.8,6488158,494726545408
120,272412561145271.72,6489019,494726545408
121,272801914864121.94,6489047,494726545408
122,272864507404782.44,6489470,494726545408
123,273052457482654.34,6489498,494726545408
124,272724917301033.7,6490359,494726545408
125,272532613417227.97,6490387,494726545408
126,272816507191999.12,6490810,494726545408
127,273119989912713.4,6490838,494726545408
128,275770379495869.53,6491699,494726545408
129,275927878546935.9,6491727,494726545408
130,275952350103218.6,6492150,494726545408
131,276055979055020.75,6492178,494726545408
132,275637629458604.75,6493039,494726545408
133,276075697383253.06,6493067,494726545408
134,275780064188031.0,6493490,494726545408
135,276115142491656.16,6493518,494726545408
136,275942653307006.72,6494379,494726545408
137,275844030980746.6,6494407,494726545408
138,276179110662777.53,6494830,494726545408
139,276065837867035.7,6494858,494726545408
140,275804817047580.6,6495719,494726545408
141,276001614195328.6,6495747,494726545408
142,275972207574408.66,6496170,494726545408
143,276159531713939.3,6496198,494726545408
144,274541204724496.84,6497059,494726545408
145,274828995435316.97,6497087,494726545408
146,274770381824250.8,6497510,494726545408
147,274706911952468.88,6497538,494726545408
148,271579918221886.5,6498399,494726545408
149,271794917871466.1,6498427,494726545408
150,271799696189624.34,6498850,494726545408
151,271761325065025.3,6498878,494726545408
152,271446404917925.75,6499739,494726545408
153,271632405818013.3,6499767,494726545408
154,271751771294731.28,6500190,494726545408
155,271775656980062.62,6500218,494726545408
156,274395024109082.12,6501079,494726545408
157,274785032883010.72,6501107,494726545408
158,274623957119439.75,6501530,494726545408
159,274668020635361.25,6501558,494726545408
160,274516830473450.9,6502419,494726545408
161,274760615319678.75,6502447,494726545408
162,274716827187010.7,6502870,494726545408
163,274780149023158.2,6502898,494726545408
164,274463070086683.94,6503759,494726545408
165,274697149959272.38,6503787,494726545408
166,274751002094815.38,6504210,494726545408
167,274745966864537.53,6504238,494726545408
168,275706293204903.94,6505099,494726545408
