idx,FLOPS,Correlation,Num_of_Operations
0,260904907513114.97,2038253,164819369984
1,261064011746499.9,2038281,164819369984
2,260575332651406.06,2038704,164819369984
3,260720011996773.06,2038732,164819369984
4,260641263430224.2,2039593,164819369984
5,260944562104789.88,2039621,164819369984
6,260298787232328.84,2040044,164819369984
7,261315668034924.66,2040072,164819369984
8,260561738577259.8,2040933,164819369984
9,260971005196639.44,2040961,164819369984
10,260878477813690.1,2041384,164819369984
11,261050780104819.84,2041412,164819369984
12,260826047231185.3,2042273,164819369984
13,260891691994035.66,2042301,164819369984
14,260535378354710.1,2042724,164819369984
15,261368710141595.1,2042752,164819369984
16,260760022946716.6,2044125,164819369984
17,260667232830089.62,2044153,164819369984
18,260469912755994.6,2044573,164819369984
19,261235731174376.53,2044601,164819369984
20,261130190079803.28,2045459,164819369984
21,261248981572064.88,2045487,164819369984
22,260101203432679.9,2045907,164819369984
23,261275900580985.22,2045935,164819369984
24,260706815201470.4,2046793,164819369984
25,260984228752395.0,2046821,164819369984
26,260759610400048.12,2047241,164819369984
27,260825634475577.38,2047269,164819369984
28,260667232830089.62,2048127,164819369984
29,261050366637629.28,2048155,164819369984
30,260720424418154.0,2048575,164819369984
31,261156257005865.8,2048603,164819369984
32,260035545559247.4,2049461,164819369984
33,260574920688924.62,2049489,164819369984
34,260509435219328.5,2049909,164819369984
35,260997453648309.22,2049937,164819369984
36,261037136379042.16,2050795,164819369984
37,261130190079803.28,2050823,164819369984
38,260219882036991.72,2051243,164819369984
39,260562150498061.03,2051271,164819369984
40,260825634475577.38,2052129,164819369984
41,261116538052312.22,2052157,164819369984
42,260509023465184.72,2052577,164819369984
43,261408505854830.66,2052605,164819369984
44,260680837914482.06,2053463,164819369984
45,260852053468386.5,2053491,164819369984
46,260456329678734.56,2053911,164819369984
47,261474444168758.1,2053939,164819369984
48,260997453648309.22,2054797,164819369984
49,261289155054035.16,2054825,164819369984
50,260588516138620.56,2055245,164819369984
51,261116538052312.22,2055273,164819369984
52,260469501126777.44,2056131,164819369984
53,261156257005865.8,2056159,164819369984
54,260535790192170.03,2056579,164819369984
55,261103301085795.97,2056607,164819369984
56,260509023465184.72,2057465,164819369984
57,260971005196639.44,2057493,164819369984
58,260865264971874.8,2057913,164819369984
