idx,FLOPS,Correlation,Num_of_Operations
167,268859679520371.78,9413965,247363272704
168,268523166768526.7,9415243,247363272704
169,266303295700834.75,9415271,247363272704
170,268495477777994.84,9415844,247363272704
171,266395069240693.62,9415872,247363272704
172,268486152245784.88,9416501,247363272704
173,266147425716197.78,9416529,247363272704
174,268570105363730.9,9417005,247363272704
175,268850036468607.6,9417033,247363272704
176,268579436728968.12,9418311,247363272704
177,266174918924037.4,9418339,247363272704
178,268150863981580.06,9418912,247363272704
179,266293835151053.25,9418940,247363272704
180,268439534300032.78,9419569,247363272704
181,266385602169308.12,9419597,247363272704
182,268532494872265.28,9420073,247363272704
183,268962581797858.84,9420101,247363272704
184,268458179535543.97,9421379,247363272704
185,266688882580172.2,9421407,247363272704
186,268560774646878.06,9421980,247363272704
187,266312470209270.44,9422008,247363272704
188,268523458261958.88,9422637,247363272704
189,266110776939379.28,9422665,247363272704
190,268840978474312.84,9423141,247363272704
191,268728826808213.84,9423169,247363272704
192,268560774646878.06,9424447,247363272704
193,266303295700834.75,9424475,247363272704
194,268309090134434.78,9425048,247363272704
195,266192964428800.0,9425076,247363272704
196,268401960367398.53,9425705,247363272704
197,266239091837064.2,9425733,247363272704
198,268644774446068.66,9426209,247363272704
199,268822280029646.6,9426237,247363272704
200,268672494239627.6,9427515,247363272704
201,266220753561796.28,9427543,247363272704
202,268271843654765.1,9428116,247363272704
203,266101330063049.78,9428144,247363272704
204,268411571302390.88,9428773,247363272704
205,266698371220762.88,9428801,247363272704
206,268560483072423.3,9429277,247363272704
207,268700803510792.0,9429305,247363272704
208,268420600383483.9,9430583,247363272704
209,266037509656853.12,9430611,247363272704
210,268495477777994.84,9431184,247363272704
211,266184084588946.03,9431212,247363272704
212,268458179535543.97,9431841,247363272704
213,266293835151053.25,9431869,247363272704
214,268691463710404.5,9432345,247363272704
215,268756563951069.03,9432373,247363272704
216,268719485059628.97,9433651,247363272704
217,266211585371470.88,9433679,247363272704
218,268532786385949.97,9434252,247363272704
219,266156589487728.5,9434280,247363272704
220,268290174614072.22,9434909,247363272704
221,266339997527860.03,9434937,247363272704
222,268663448204553.4,9435413,247363272704
223,268896797113658.94,9435441,247363272704
224,268644482689189.53,9436719,247363272704
225,266037509656853.12,9436747,247363272704
226,268756855951447.1,9437320,247363272704
227,266294121824503.97,9437348,247363272704
228,268803292083904.28,9437977,247363272704
229,266294121824503.97,9438005,247363272704
230,268570105363730.9,9438481,247363272704
231,268803292083904.28,9438509,247363272704
232,268364979250158.97,9439787,247363272704
233,266229635848396.62,9439815,247363272704
234,268523458261958.88,9440388,247363272704
235,266229922383638.97,9440416,247363272704
236,268374296366536.1,9441045,247363272704
237,266312183496313.16,9441073,247363272704
238,268812931782666.06,9441549,247363272704
239,268868738774911.28,9441577,247363272704
240,268700803510792.0,9442855,247363272704
241,266257146044461.0,9442883,247363272704
242,268374005196856.72,9443456,247363272704
243,266330821122717.7,9443484,247363272704
244,268476827361351.4,9444113,247363272704
245,266294121824503.97,9444141,247363272704
246,268691463710404.5,9444617,247363272704
247,268869031019093.2,9444645,247363272704
248,267834970867268.8,9445923,247363272704
249,265324977720762.47,9445951,247363272704
250,268290465601877.66,9446524,247363272704
251,266321645349876.3,9446552,247363272704
252,268588477107413.34,9447181,247363272704
253,266074138254320.3,9447209,247363272704
254,267974243682603.78,9447685,247363272704
255,268011407565674.72,9447713,247363272704
256,270193841750382.03,9450015,247363272704
257,267992824335714.62,9450043,247363272704
258,270562964672837.1,9450619,247363272704
259,268197381709995.9,9450647,247363272704
260,270269711863258.62,9451279,247363272704
261,267816412095752.62,9451307,247363272704
262,270392611418514.9,9451786,247363272704
263,270279161708627.7,9451814,247363272704
264,270005384213364.28,9453095,247363272704
265,267853532211083.47,9453123,247363272704
266,270439910245225.1,9453699,247363272704
267,268188076873204.3,9453727,247363272704
268,269967665321357.25,9454359,247363272704
269,268159875531060.34,9454387,247363272704
270,270316967699210.78,9454866,247363272704
271,270439910245225.1,9454894,247363272704
272,268206687192476.12,9456175,247363272704
273,266220467046289.84,9456203,247363272704
274,268364979250158.97,9456779,247363272704
275,265845089146557.84,9456807,247363272704
276,268178772682034.16,9457439,247363272704
277,266174632507179.94,9457467,247363272704
278,268663448204553.4,9457946,247363272704
279,268607143039881.2,9457974,247363272704
280,268486152245784.88,9459255,247363272704
281,266092456335640.38,9459283,247363272704
282,268327717252974.94,9459859,247363272704
283,266129100066058.03,9459887,247363272704
284,268691171852104.47,9460519,247363272704
285,266284948580212.75,9460547,247363272704
286,268654111000814.56,9461026,247363272704
287,268784890942321.1,9461054,247363272704
288,268486152245784.88,9462335,247363272704
289,266101330063049.78,9462363,247363272704
290,268392932540259.5,9462939,247363272704
291,266367243706220.28,9462967,247363272704
292,270392611418514.9,9463599,247363272704
293,267807133674439.34,9463627,247363272704
294,270496690684740.38,9464106,247363272704
295,270449076306608.4,9464134,247363272704
296,270439910245225.1,9465415,247363272704
297,267964664040064.16,9465443,247363272704
298,270316967699210.78,9466019,247363272704
299,268039287243379.84,9466047,247363272704
300,270099727571514.97,9466679,247363272704
301,267992533993194.1,9466707,247363272704
302,270468297484949.3,9467186,247363272704
303,270629271144273.2,9467214,247363272704
304,270354784267693.16,9468495,247363272704
305,268215993320712.06,9468523,247363272704
306,269977094056347.78,9469099,247363272704
307,267630965739448.44,9469127,247363272704
308,270071417642190.66,9469759,247363272704
309,267927803320025.22,9469787,247363272704
310,270553494972032.84,9470266,247363272704
311,270610323122129.66,9470294,247363272704
312,270250814154767.25,9471575,247363272704
313,268206396386374.28,9471603,247363272704
314,270458834409570.9,9472179,247363272704
315,267853532211083.47,9472207,247363272704
316,270203286290881.97,9472839,247363272704
317,268029993373020.06,9472867,247363272704
318,270307515210060.34,9473346,247363272704
319,270259967402289.38,9473374,247363272704
320,270288316876515.4,9474655,247363272704
321,267955375343795.34,9474683,247363272704
322,269873119749157.47,9475259,247363272704
323,267946377533357.44,9475287,247363272704
324,270288612214838.12,9475919,247363272704
325,267955665605806.22,9475947,247363272704
326,270761981632737.94,9476426,247363272704
327,270600850106002.88,9476454,247363272704
328,270222472546607.75,9477735,247363272704
329,267992533993194.1,9477763,247363272704
330,270118604155246.25,9478339,247363272704
331,268104362386981.66,9478367,247363272704
332,270099727571514.97,9478999,247363272704
333,268225300094771.1,9479027,247363272704
334,270420988728963.8,9479506,247363272704
335,270506156409454.44,9479534,247363272704
336,270373696520034.03,9480815,247363272704
337,267955375343795.34,9480843,247363272704
338,270392315852873.34,9481419,247363272704
339,268095064003381.5,9481447,247363272704
340,270137483377634.88,9482079,247363272704
341,268067172722011.88,9482107,247363272704
342,270270007160924.12,9482586,247363272704
343,270477761222557.28,9482614,247363272704
344,270383153638472.25,9483895,247363272704
345,268113661415598.88,9483923,247363272704
346,270250814154767.25,9484499,247363272704
347,267816412095752.62,9484527,247363272704
348,270099432645827.88,9485159,247363272704
349,268057876917808.7,9485187,247363272704
350,270458834409570.9,9485666,247363272704
351,270420988728963.8,9485694,247363272704
352,270090290268973.0,9486975,247363272704
353,268197381709995.9,9487003,247363272704
354,270354784267693.16,9487579,247363272704
355,267881379051034.97,9487607,247363272704
356,270241366291506.34,9488239,247363272704
357,267890662617747.5,9488267,247363272704
358,270506452224026.6,9488746,247363272704
359,270345329133651.75,9488774,247363272704
360,270213026664831.5,9490055,247363272704
361,267769736557294.88,9490083,247363272704
362,270411528963691.25,9490659,247363272704
363,268243915580627.2,9490687,247363272704
364,270250814154767.25,9491319,247363272704
365,268002115628555.0,9491347,247363272704
366,270259967402289.38,9491826,247363272704
367,270468297484949.3,9491854,247363272704
368,270099727571514.97,9493135,247363272704
369,268104071802731.06,9493163,247363272704
370,270080853625887.94,9493739,247363272704
371,267964664040064.16,9493767,247363272704
372,270156070189847.22,9494399,247363272704
373,268188076873204.3,9494427,247363272704
374,270411528963691.25,9494906,247363272704
375,270600850106002.88,9494934,247363272704
376,270146628949733.7,9496215,247363272704
377,267927803320025.22,9496243,247363272704
378,270477761222557.28,9496819,247363272704
379,267992533993194.1,9496847,247363272704
380,270080853625887.94,9497479,247363272704
381,267992824335714.62,9497507,247363272704
382,270250814154767.25,9497986,247363272704
383,270373696520034.03,9498014,247363272704
384,270184692981363.9,9499295,247363272704
385,267853242170301.56,9499323,247363272704
386,270033680299897.6,9499899,247363272704
387,267946377533357.44,9499927,247363272704
388,270250814154767.25,9500559,247363272704
389,268141562372223.62,9500587,247363272704
390,270354784267693.16,9501066,247363272704
391,270581906063291.0,9501094,247363272704
392,270345329133651.75,9502375,247363272704
393,268020700147140.72,9502403,247363272704
394,270430449156118.6,9502979,247363272704
395,268011117182886.78,9503007,247363272704
396,270288612214838.12,9503639,247363272704
397,268076469170963.66,9503667,247363272704
398,270477761222557.28,9504146,247363272704
399,270401774273911.53,9504174,247363272704
400,270222177352805.9,9505455,247363272704
401,267992533993194.1,9505483,247363272704
402,270345329133651.75,9506059,247363272704
403,268131970763422.44,9506087,247363272704
404,270392611418514.9,9506719,247363272704
405,267918517179007.84,9506747,247363272704
406,270411528963691.25,9507226,247363272704
407,270496690684740.38,9507254,247363272704
408,270222472546607.75,9508535,247363272704
409,268039287243379.84,9508563,247363272704
410,270052547652683.12,9509139,247363272704
411,267983533687086.56,9509167,247363272704
412,270052547652683.12,9509799,247363272704
413,267955665605806.22,9509827,247363272704
414,270213026664831.5,9510306,247363272704
415,270544025934084.2,9510334,247363272704
416,270288612214838.12,9511615,247363272704
417,267686572674601.06,9511643,247363272704
418,269769813907531.78,9512219,247363272704
419,267974243682603.78,9512247,247363272704
420,269939383067464.3,9512879,247363272704
421,267899656686626.75,9512907,247363272704
422,270487225622464.5,9513386,247363272704
423,270212731491666.84,9513414,247363272704
424,270458834409570.9,9514695,247363272704
425,267955665605806.22,9514723,247363272704
426,270014815583281.47,9515299,247363272704
427,267983533687086.56,9515327,247363272704
428,270288612214838.12,9515959,247363272704
429,268206687192476.12,9515987,247363272704
430,270316967699210.78,9516466,247363272704
431,270184692981363.9,9516494,247363272704
432,270165807159910.78,9517775,247363272704
433,267899946827935.94,9517803,247363272704
434,270269711863258.62,9518379,247363272704
435,267602881435620.28,9518407,247363272704
436,270354784267693.16,9519039,247363272704
437,268067172722011.88,9519067,247363272704
438,270468297484949.3,9519546,247363272704
439,270581906063291.0,9519574,247363272704
440,270213026664831.5,9520855,247363272704
441,267983533687086.56,9520883,247363272704
442,270335874660937.1,9521459,247363272704
443,267844251217605.44,9521487,247363272704
444,269948809826984.5,9522119,247363272704
445,267974243682603.78,9522147,247363272704
446,270345329133651.75,9522626,247363272704
447,270619796801529.88,9522654,247363272704
448,270241366291506.34,9523935,247363272704
449,267964664040064.16,9523963,247363272704
450,270316967699210.78,9524539,247363272704
451,268076178647173.88,9524567,247363272704
452,270373696520034.03,9525199,247363272704
453,267992824335714.62,9525227,247363272704
454,270458834409570.9,9525706,247363272704
455,270543730037328.34,9525734,247363272704
456,270175249740597.6,9527015,247363272704
457,268029702949956.4,9527043,247363272704
458,269920531523411.5,9527619,247363272704
459,268290465601877.66,9527647,247363272704
460,270316672298918.03,9528279,247363272704
461,267974243682603.78,9528307,247363272704
462,270477465470732.38,9528786,247363272704
463,270553494972032.84,9528814,247363272704
464,270420988728963.8,9530095,247363272704
465,267955375343795.34,9530123,247363272704
466,270316967699210.78,9530699,247363272704
467,267584354812852.44,9530727,247363272704
468,270572435036566.6,9531359,247363272704
469,267769736557294.88,9531387,247363272704
470,270137483377634.88,9531866,247363272704
471,270506156409454.44,9531894,247363272704
472,268420891654278.12,9533175,247363272704
473,266119651888772.6,9533203,247363272704
474,268439534300032.78,9533779,247363272704
475,266284948580212.75,9533807,247363272704
476,268514130786014.34,9534439,247363272704
477,266348887773373.84,9534467,247363272704
478,268635438540248.1,9534946,247363272704
479,269018743519861.84,9534974,247363272704
480,268541823624115.9,9536255,247363272704
481,266330821122717.7,9536283,247363272704
482,268532786385949.97,9536859,247363272704
483,266137976237687.66,9536887,247363272704
484,268541823624115.9,9537519,247363272704
485,266147425716197.78,9537547,247363272704
486,268682124559280.7,9538026,247363272704
487,268607434715661.7,9538054,247363272704
488,268430212653469.6,9539335,247363272704
489,266174918924037.4,9539363,247363272704
490,268458179535543.97,9539939,247363272704
491,266339997527860.03,9539967,247363272704
492,268392932540259.5,9540599,247363272704
493,266064693979096.72,9540627,247363272704
494,268588477107413.34,9541106,247363272704
495,268672786057352.9,9541134,247363272704
496,268448856594035.1,9542415,247363272704
497,266165467493186.16,9542443,247363272704
498,268197090924072.9,9543019,247363272704
499,266257432638923.28,9543047,247363272704
500,268374005196856.72,9543679,247363272704
501,266321645349876.3,9543707,247363272704
502,268504803958048.88,9544186,247363272704
503,269009381604160.38,9544214,247363272704
504,267742202721980.88,9545495,247363272704
505,265142964472641.97,9545523,247363272704
506,268243624693789.25,9546099,247363272704
507,266496093220685.94,9546127,247363272704
508,268374296366536.1,9546759,247363272704
509,266184084588946.03,9546787,247363272704
510,268048291294939.16,9547266,247363272704
511,267890662617747.5,9547294,247363272704
512,270619796801529.88,9549599,247363272704
513,268271843654765.1,9549627,247363272704
514,270477761222557.28,9550200,247363272704
515,268094773439286.6,9550228,247363272704
516,270156365239234.2,9550857,247363272704
517,268215993320712.06,9550885,247363272704
518,270354784267693.16,9551361,247363272704
519,270534557558921.66,9551389,247363272704
520,270326420849479.94,9552667,247363272704
521,268141562372223.62,9552695,247363272704
522,270043113646734.66,9553268,247363272704
523,268178772682034.16,9553296,247363272704
524,270156070189847.22,9553925,247363272704
525,267983533687086.56,9553953,247363272704
526,270458834409570.9,9554429,247363272704
527,270373696520034.03,9554457,247363272704
528,268318403370423.3,9555735,247363272704
529,265881950560541.72,9555763,247363272704
530,268626103283285.16,9556336,247363272704
531,266137976237687.66,9556364,247363272704
532,268551444578342.06,9556993,247363272704
533,266321645349876.3,9557021,247363272704
534,268570105363730.9,9557497,247363272704
535,268700511632201.5,9557525,247363272704
536,268523458261958.88,9558803,247363272704
537,266009758764086.12,9558831,247363272704
538,268411862553589.97,9559404,247363272704
539,266395069240693.62,9559432,247363272704
540,268672786057352.9,9560061,247363272704
541,266174632507179.94,9560089,247363272704
542,268878090903853.66,9560565,247363272704
543,268869031019093.2,9560593,247363272704
544,268532786385949.97,9561871,247363272704
545,266174632507179.94,9561899,247363272704
546,268309090134434.78,9562472,247363272704
